"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","r","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","correct_comp","B5","final_pay"
"1716","18","1","1","147.156.150.49","l66","1569398951",NULL,"30","100","7","20","1",,"1","203","0","41","1","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","5","2","10","40","3","543.8","Hacer solo 1 o 2 conexiones y así solo sumaba puntos y no restaba","Cuantas más conexiones más puntos",,"4,3,5,2,1","2","6","24.8","60.8","1","0,0,0,0,0","1.6","5","1","4","0","34","19","45","1","3,4,3,1,1,4,0,3,4,3","12.2"
"1713","18","1","2","147.156.150.51","l65","1569398947",NULL,"30","100","7","18","0",,"4","203","0","41","1","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","9","2","10","40","3","672.1","intentar conectar con los jugadores que más enlaces tenían o con los que estaban apartados, para ser su punto de conexión.","intentar ser el centro de los enlaces.",,"3,5,4,1,2","5","6","60","20","3","0,1,1,1,1","0.1","5","6","4","1","3","35","18","2","3,4,3,2,3,1,0,2,1,1","12.7"
"1703","18","1","3","147.156.150.56","l71","1569398927",NULL,"30","100","7","21","1","Diseño","4","203","0","8","3","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","2","2","10","40","3","861.5","No tenia ninguna pensada pero he optado por la de ir a por el máximo de puntos.. Pero al final, en los últimos segundos todo cambia","La de conseguir muchos puntos y así aumentar el beneficio, parecida a la mía..","Han habido otros experimentos que me han resultado más sencillos y entretenidos","5,3,4,1,2","4","6","40.2","39.6","2","0,0,0,1,1","1.6","5","1","4","3","3","19","18","1","3,3,4,1,1,3,2,3,4,3","15.5"
"1741","18","1","4","147.156.150.14","l18","1569399015",NULL,"30","100","7","20","1","Facultad de economia, Tarongers","4","203","0","41","4","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","3","2","10","40","3","891.2","Observar la puntuación del resto de mis compañeros e ir probando que relación me beneficiaba más","Conectarse donde todos se relacionaban, así conseguían puntos y de esta forma se beneficiaba el principal, quién estaba conectando a todos, pero teniamos la garantía de un mínimo de puntos",,"3,4,1,2,5","1","6","30","30","1","0,0,0,1,1","1.6","5","6","4","0","3","34","18","1","2,4,3,1,2,4,0,3,3,4","15.5"
"1736","18","1","5","147.156.150.35","l48","1569398998",NULL,"30","100","7","18","0","Magisterio","4","203","0","41","3","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","1","2","10","40","3","433.5","Buscar en un principio conectar con los máximos nódulos y arriesgar","jugar a lo seguro",,"4,3,2,1,5","2","6","19.2","83.2","5","0,1,1,1,1","3.85","5","6","6","1","49","19","32","1","0,4,1,3,1,4,0,3,1,4","13.4"
"1731","18","1","6","147.156.150.30","l46","1569398988",NULL,"30","100","7","22","1","Filología","4","203","0","41","1","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","7","2","10","40","3","370.2","Quedarme en los lados.","Conectar con el máximo número de personas. ",,"3,2,1,5,4","3","6","28.2","31.8","2","0,0,0,0,0","1.6","5","5","4","1","3","35","18","3","4,4,2,0,0,1,0,3,4,4","10.9"
"1737","18","1","7","147.156.150.29","l35","1569399003",NULL,"30","100","7","22","1",,"5","203","0","41","1","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","7","2","10","40","3","966","Enlazar con nodos periféricos","La misma o enlazarse al nodo que más nodos periféricos tenía enlazados",,"1,5,4,2,3","3","6","60","0","5","0,0,0,0,1","3.85","5","3","4","1","1","1","18","4","3,3,2,2,0,4,3,4,2,4","19.3"
"1715","18","1","8","147.156.150.53","l75","1569398950",NULL,"30","100","7","18","1",,"1","203","2","41","4","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","4","2","10","40","3","591.4","Tener pocas relaciones que generen un número de puntos considerables.","Crear las máximas relaciones posibles.",,"4,2,1,5,3","5","6","90","10","4","0,0,0,1,1","3.85","5","1","4","0","3","35","18","1","1,4,2,2,3,4,0,2,3,2","16.2"
"1708","18","1","9","147.156.150.48","l63","1569398939",NULL,"30","100","7","20","0","economia","4","203","0","41","4","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","3","2","10","40","3","915","agruparme con el que mas conexiones tenia","la misma, bueno al principio todos buscan ser el id que todos se cogen de el",,"3,1,2,5,4","1","6","32.4","22.8","5","0,0,1,1,1","3.85","5","5","4","1","1","35","1","5","1,4,0,3,1,2,0,2,4,4","18.4"
"1710","18","1","10","147.156.150.44","l64","1569398943",NULL,"30","100","7","20","0","Ingeniería","4","203","0","41","1","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","7","2","10","40","3","380.9","Intentar ser un nodo principal, o en el caso de que no pudiera unirme a un nodo principal con muchas uniones y realizar un par de uniones secundarias.","Unirse a un nodo principal y mantenerse estable.",,"3,2,5,1,4","3","6","45","15","1","0,0,0,1,1","1.6","5","2","4","0","3","19","1","2","3,4,2,4,1,3,2,4,2,3","11.2"
"1734","18","1","11","147.156.150.16","l22","1569398997",NULL,"30","100","7","21","1","Inglés","4","203","0","41","1","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","3","2","10","40","3","796.2","Ver lo que hacían los demás","La misma",,"4,2,3,5,1","2","6","32.4","30.4","1","0,0,1,1,1","2","5","5","4","1","1","19","1","5","1,4,2,1,0,3,0,1,1,4","15.5"
"1723","18","1","12","147.156.150.47","l58","1569398968",NULL,"30","100","7","18","0","Ciencias sociales ","4","235","0","41","3","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","2","2","10","40","3","877.4","Estar el máximo tiempo posible con una media de 115  puntos para aumentar mis probabilidades de obtener un euro por ronda ","Ir probando las conexiones todo el rato ",,"5,3,2,1,4","2","6","33.6","25.6","5","0,0,1,1,1","3.85","5","1","4","1","1","46","11","3","4,4,2,3,2,3,1,1,3,2","17.9"
"1711","18","1","13","147.156.150.40","l53","1569398943",NULL,"30","100","7","23","1","Comunicación","4","203","0","41","1","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","3","2","10","40","3","503.2","Observar","Hacer muchos enlaces",,"4,5,1,3,2","1","6","29.2","32.4","2","0,0,1,1,1","1.6","5","5","4","1","34","19","37","3","1,3,1,2,2,3,3,3,4,4","12.1"
"1749","18","1","14","147.156.150.7","l11","1569399033",NULL,"30","100","7","20","0",,"4","203","0","41","3","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","3","2","10","40","3","826.3","Que cuantos más participantes se conectaran a mí.","Que los demás participantes se conecten a ellos.",,"4,2,3,1,5","2","6","40","0","1","0,0,1,1,1","1.6","5","1","2","1","1","19","1","3","3,3,2,1,4,3,1,3,3,1","15.3"
"1702","18","1","15","147.156.150.63","l82","1569398899",NULL,"30","100","7","23","0","ingeniería","5","203","2","41","1","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","1","2","10","40","3","823.1","primeramente ir creando enlaces externos y poco a poco intentar centralizarme para mantener un equilibrio","intentar hacer enlaces con los participantes localizados en el centro",,"2,5,1,3,4","5","6","50.4","23.2","3","0,0,0,0,1","1.6","5","2","4","1","3","19","1","3","0,4,1,1,0,4,0,3,3,3","15.5"
"1740","18","1","16","147.156.150.32","l36","1569399010",NULL,"30","100","7","21","1","CRIMINOLOGÍA","4","203","0","41","4","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","9","2","10","40","3","884.9","Intentar juntarme con el nodo que mayor puntuación tenía y que había pedido unirse junto a mí e intentar ser el medio por el cual otros nodos se junte y exista conexión entre ellos siempre estando yo en alguno de los caminos. ","Juntarse con el nodo de mayor puntuación para asegurarse un beneficio. ",,"4,2,3,1,5","4","6","40.2","39.6","2","0,1,1,1,1","3.85","5","3","4","1","3","35","18","2","0,4,0,1,2,4,1,3,2,2","18"
"1748","18","1","17","147.156.150.25","l27","1569399032",NULL,"30","100","7","21","0","Ingeniería","4","203","0","41","1","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","3","2","10","40","3","315.7","Ser el nodo principal","De algunos si",,"5,3,1,4,2","4","6","40.2","39.6","2","0,0,0,1,1","1.6","5","2","4","1","34","19","1","3","1,3,2,4,2,3,2,3,0,2","10.7"
"1706","18","1","18","147.156.150.45","l62","1569398935",NULL,"30","100","7","22","1","Diseño Gráfico","4","203","0","41","3","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","8","2","10","40","3","893.5","Arriesgar y ser rápida en el primer minuto todo lo posible ya que ese primer minuto no podia ser seleccionado. Despues no arriesgar tanto.","Conectar con la mayor gente posible",,"5,4,1,2,3","2","6","32.4","30.4","5","0,0,0,0,0","2","5","6","4","0","1","44","28","2","3,3,3,2,1,1,0,3,4,4","16.1"
"1729","18","1","19","147.156.150.27","l45","1569398984",NULL,"30","100","7","18","0","ciencias sociales","4","203","0","41","3","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","9","2","10","40","3","632.1","encontrar un momento de la partida en el cual estoy obteniendo buenos resultados y mantenerme ahí","pues imagino que generar muchos enlaces y muchas conexiones por mediación para así obtener la máxima puntuación posible",,"5,4,3,2,1","3","6","60","0","5","0,0,0,0,1","3.85","5","5","4","1","34","19","1","4","0,4,2,3,3,4,1,3,1,1","16.3"
"1701","18","1","20","147.156.150.62","l81","1569398889",NULL,"30","100","7","19","1","economia","4","203","0","41","1","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","8","2","10","40","3","600.8","conseguir enlaces con circulos que no tengan mas enlaces, solo el mio","conseguir el maximo de enlaces sin ver, si estos tienen ",,"2,4,3,5,1","4","6","60","0","3","0,0,0,0,0","1.6","5","2","3","2","3","35","18","0","0,4,2,1,4,4,1,2,2,2","13.3"
"1743","18","1","21","147.156.150.19","l25","1569399016",NULL,"30","100","7","20","1",,"4","203","0","41","0","6","50","50","143,339,316,192,203,169","60","360",NULL,"400","110","50","5","4","2","10","40","3","614.2","Obtener el mayor número de puntos uniéndome con el círculo que más conexiones tenía. ","Pretender ser el círculo con más conexiones. ",,"3,5,4,1,2","5","6","120","0","5","0,0,1,1,1","3.85","5","2","4","1","31","19","1","3","1,4,0,3,2,2,0,3,3,2","17.2"
