"id","id_subj","nb_question","nb_item","choice"
"1","1733","1","2","17"
"2","1733","2","3","4"
"3","1734","1","4","25"
"4","1733","3","4","44"
"5","1722","1","1","20"
"6","1721","1","3","0"
"7","1733","4","1","0"
"8","1731","1","3","53"
"9","1734","2","2","19"
"10","1721","2","5","0"
"11","1733","5","5","45"
"12","1721","3","1","0"
"13","1734","3","3","50"
"14","1721","4","2","0"
"15","1722","2","2","2"
"16","1721","5","4","16"
"17","1731","2","2","19"
"18","1722","3","3","20"
"19","1701","1","2","0"
"20","1728","1","1","25"
"21","1734","4","5","75"
"22","1722","4","5","48"
"23","1716","1","4","71"
"24","1714","1","3","17"
"25","1701","2","4","0"
"26","1740","1","4","33"
"27","1722","5","4","11"
"28","1731","3","1","25"
"29","1734","5","1","25"
"30","1718","1","2","16"
"31","1710","1","3","25"
"32","1701","3","3","0"
"33","1714","2","4","8"
"34","1707","1","5","40"
"35","1716","2","3","57"
"36","1701","4","5","0"
"37","1731","4","5","75"
"38","1701","5","1","0"
"39","1749","1","4","22"
"40","1717","1","1","16"
"41","1716","3","5","46"
"42","1714","3","2","0"
"43","1718","2","4","27"
"44","1740","2","2","20"
"45","1716","4","2","38"
"46","1714","4","1","0"
"47","1728","2","2","20"
"48","1749","2","2","0"
"49","1718","3","1","23"
"50","1714","5","5","0"
"51","1728","3","4","40"
"52","1710","2","2","15"
"53","1731","5","4","0"
"54","1730","1","4","33"
"55","1717","2","5","29"
"56","1749","3","3","9"
"57","1739","1","5","42"
"58","1704","1","5","61"
"59","1745","1","5","42"
"60","1718","4","3","4"
"61","1740","3","3","50"
"62","1742","1","2","20"
"63","1712","1","5","0"
"64","1717","3","2","26"
"65","1743","1","3","17"
"66","1707","2","4","0"
"67","1718","5","5","17"
"68","1745","2","3","0"
"69","1748","1","5","52"
"70","1710","3","5","50"
"71","1749","4","1","4"
"72","1723","1","5","13"
"73","1716","5","1","13"
"74","1728","4","3","58"
"75","1730","2","5","75"
"76","1749","5","5","0"
"77","1717","4","3","17"
"78","1708","1","3","34"
"79","1747","1","1","25"
"80","1712","2","3","16"
"81","1742","2","4","19"
"82","1723","2","3","24"
"83","1730","3","3","50"
"84","1746","1","2","0"
"85","1740","4","1","25"
"86","1710","4","1","50"
"87","1743","2","5","0"
"88","1713","1","3","0"
"89","1711","1","4","31"
"90","1745","3","2","0"
"91","1748","2","3","50"
"92","1707","3","2","13"
"93","1717","5","4","17"
"94","1728","5","5","74"
"95","1732","1","5","75"
"96","1726","1","2","20"
"97","1723","3","2","16"
"98","1715","1","4","30"
"99","1712","3","2","0"
"100","1704","2","1","8"
"101","1743","3","4","33"
"102","1746","2","1","0"
"103","1739","2","4","25"
"104","1723","4","1","0"
"105","1740","5","5","75"
"106","1707","4","3","50"
"107","1746","3","3","0"
"108","1710","5","4","50"
"109","1723","5","4","0"
"110","1729","1","5","0"
"111","1747","2","4","26"
"112","1712","4","4","16"
"113","1746","4","5","0"
"114","1748","3","1","0"
"115","1745","4","1","25"
"116","1739","3","3","34"
"117","1747","3","3","53"
"118","1707","5","1","8"
"119","1712","5","1","0"
"120","1713","2","5","50"
"121","1730","4","2","20"
"122","1704","3","3","32"
"123","1715","2","2","0"
"124","1738","1","4","12"
"125","1746","5","4","0"
"126","1708","2","1","19"
"127","1748","4","4","33"
"128","1739","4","1","29"
"129","1711","2","5","53"
"130","1726","2","3","50"
"131","1730","5","1","25"
"132","1747","4","2","16"
"133","1713","3","4","50"
"134","1745","5","4","33"
"135","1732","2","1","21"
"136","1750","1","5","17"
"137","1743","4","1","22"
"138","1704","4","2","21"
"139","1739","5","2","16"
"140","1747","5","5","73"
"141","1708","3","2","64"
"142","1748","5","2","20"
"143","1741","1","3","50"
"144","1737","1","1","25"
"145","1742","3","5","67"
"146","1732","3","2","19"
"147","1743","5","2","20"
"148","1726","3","5","67"
"149","1738","2","3","42"
"150","1711","3","1","27"
"151","1704","5","4","42"
"152","1708","4","5","3"
"153","1715","3","1","72"
"154","1713","4","1","0"
"155","1729","2","4","17"
"156","1711","4","3","36"
"157","1732","4","3","50"
"158","1705","1","4","33"
"159","1713","5","2","0"
"160","1708","5","4","34"
"161","1715","4","5","25"
"162","1726","4","1","25"
"163","1729","3","3","0"
"164","1711","5","2","0"
"165","1724","1","2","51"
"166","1720","1","3","25"
"167","1742","4","1","25"
"168","1715","5","3","23"
"169","1750","2","4","16"
"170","1732","5","4","33"
"171","1741","2","4","33"
"172","1726","5","4","33"
"173","1744","1","1","18"
"174","1724","2","3","0"
"175","1705","2","1","25"
"176","1736","1","4","8"
"177","1750","3","3","17"
"178","1738","3","1","24"
"179","1742","5","3","50"
"180","1705","3","3","50"
"181","1750","4","2","0"
"182","1724","3","4","33"
"183","1706","1","5","17"
"184","1724","4","5","0"
"185","1729","4","2","25"
"186","1741","3","1","25"
"187","1744","2","2","18"
"188","1720","2","1","16"
"189","1705","4","2","20"
"190","1750","5","1","0"
"191","1709","1","1","25"
"192","1744","3","5","0"
"193","1724","5","1","0"
"194","1705","5","5","75"
"195","1738","4","5","24"
"196","1706","2","4","17"
"197","1720","3","4","34"
"198","1737","2","5","0"
"199","1736","2","3","9"
"200","1744","4","4","16"
"201","1729","5","1","26"
"202","1709","2","5","25"
"203","1738","5","2","23"
"204","1744","5","3","0"
"205","1706","3","1","42"
"206","1737","3","4","100"
"207","1720","4","5","75"
"208","1736","3","2","52"
"209","1741","4","2","19"
"210","1703","1","5","49"
"211","1720","5","2","13"
"212","1709","3","2","25"
"213","1706","4","2","19"
"214","1727","1","5","0"
"215","1736","4","1","3"
"216","1706","5","3","17"
"217","1727","2","1","100"
"218","1719","1","2","74"
"219","1709","4","3","17"
"220","1741","5","5","67"
"221","1737","4","2","100"
"222","1709","5","4","17"
"223","1736","5","5","33"
"224","1703","2","3","67"
"225","1737","5","3","0"
"226","1719","2","4","70"
"227","1703","3","4","33"
"228","1702","1","2","20"
"229","1719","3","1","35"
"230","1719","4","5","0"
"231","1703","4","1","25"
"232","1727","3","4","58"
"233","1725","1","1","100"
"234","1719","5","3","20"
"235","1703","5","2","24"
"236","1725","2","2","100"
"237","1727","4","2","20"
"238","1702","2","5","58"
"239","1727","5","3","0"
"240","1725","3","3","0"
"241","1725","4","5","0"
"242","1725","5","4","100"
"243","1702","3","1","25"
"244","1702","4","3","25"
"245","1702","5","4","29"
"246","1735","1","2","20"
"247","1735","2","5","0"
"248","1735","3","1","25"
"249","1735","4","4","0"
"250","1735","5","3","0"
