"id","id_subj","round","session","period","id_grp","grp","time","time_start","duration","links","payoff"
"1","1711","1","18","1","50","1","1569402274","1569402131","143","[36,10,34,13,46,44,33,15,31]","-21"
"2","1725","1","18","1","5","1","1569402265","1569402131","143","[15,18,38,33,12,13,24,2,14,20,10,27,1]","-70.9"
"3","1737","1","18","1","47","1","1569402261","1569402131","143","[26,30,22,21,24,42,12,8,45,15,19,35]","2"
"4","1734","1","18","1","27","1","1569402255","1569402131","143","[38,17,36,1,8,18,40,24,19]","64.9"
"5","1728","1","18","1","18","1","1569402273","1569402131","143","[8,15,21,14,23,12,30,4,50,34,33]","-78.1"
"6","1742","1","18","1","30","1","1569402269","1569402131","143","[26,1,17,21,25,33,14,38,34,24,5,18,31,23,13]","-101.1"
"7","1749","1","18","1","45","1","1569402273","1569402131","143","[25,39,34]","66.2"
"8","1710","1","18","1","36","1","1569402260","1569402131","143","[26,1,25,43,49,10,22,15,4,45,29,7]","-18"
"9","1714","1","18","1","22","1","1569402271","1569402131","143","[17,8,16,23,13,24]","97.7"
"10","1744","1","18","1","38","1","1569402269","1569402131","143","[32,8,31,5,41,22,14,30,10,12,23,24,40,20,1]","-79.5"
"11","1731","1","18","1","40","1","1569402274","1569402131","143","[17,18,25,28,37,38,13,10,3,8,24]","-5.9"
"12","1722","1","18","1","43","1","1569402265","1569402131","143","[37,1,31,36,4,35,23,42,39,19,41]","-60.8"
"13","1732","1","18","1","17","1","1569402273","1569402131","143","[18,38,31,13,24,14,20,27,40,12,1,32]","2.7"
"14","1713","1","18","1","35","1","1569402250","1569402131","143","[32,46,2,18,34,12,43,4,10,6]","-27.2"
"15","1743","1","18","1","28","1","1569402250","1569402131","143","[36,1,18,40,8,17,20,12,24,32]","0.1"
"16","1735","1","18","1","31","1","1569402260","1569402131","143","[43,36,38,15,14,34]","9.7"
"17","1738","1","18","1","41","1","1569402272","1569402131","143","[37,26,10,32,38,8,15,43]","-55.5"
"18","1730","1","18","1","25","1","1569402274","1569402131","143","[20,5,36,8,9,39,22]","81.2"
"19","1715","1","18","1","29","1","1569402268","1569402131","143","[1,26,3,8,7,10,9,36,22]","-33.6"
"20","1747","1","18","1","49","1","1569402267","1569402131","143","[3,11,7,20,15,36,47,46,26,22,35,10,4]","-129.9"
"21","1707","1","18","1","44","1","1569402263","1569402131","143","[17,1,8,25,5,31,34,45,6,50,15]","21.5"
"22","1750","1","18","1","10","1","1569402274","1569402131","143","[46,1,38,27,22,8,36,28,5,6,50,11,41,7,49,35,34,44,19,16,24,40,37,26,29,33]","-67.3"
"23","1716","1","18","1","15","1","1569402274","1569402131","143","[27,14,49,26,33,44,34,35,31,41,24,38,30,46,4,22,7,16]","-113.1"
"24","1717","1","18","1","39","1","1569402268","1569402131","143","[37,42,45]","115.9"
"25","1724","1","18","1","42","1","1569402274","1569402131","143","[37,47,39,48,7,43,4,26,45,24,3]","71.7"
"26","1746","1","18","1","9","1","1569402242","1569402131","143","[19,29,26]","26.6"
"27","1718","1","18","1","24","1","1569402273","1569402131","143","[1,36,28,12,5,20,31,47,4,14,30,46,17,26,13,38,42,15,33,23,35,8,22,10]","-8.4"
"28","1729","1","18","1","19","1","1569402273","1569402131","143","[27,17,38,1,28,47,16,23,7,9,45,46,36,10,26,3,43]","13.1"
"29","1704","1","18","1","32","1","1569402272","1569402131","143","[8,27,41,26,28,14,44,34,13,37,6,12]","-47.5"
"30","1748","1","18","1","37","1","1569402267","1569402131","143","[43,26,41,42,39,40,24,21,45,25,10,7]","-11.4"
"31","1733","1","18","1","6","1","1569402274","1569402131","143","[1,2,30,23,13,45,8,35,44,26,32,14,34,10,18,5,31,33,46,4]","-125.6"
"32","1720","1","18","1","21","1","1569402270","1569402131","143","[14,16]","78.7"
