"id","id_subj","nb_question","nb_item","choice"
"1","1445","1","3","50"
"2","1410","1","3","17"
"3","1410","2","5","0"
"4","1426","1","2","0"
"5","1432","1","1","24"
"6","1432","2","3","48"
"7","1445","2","2","51"
"8","1426","2","1","18"
"9","1410","3","1","24"
"10","1421","1","2","0"
"11","1419","1","4","33"
"12","1426","3","4","33"
"13","1432","3","2","20"
"14","1410","4","2","62"
"15","1432","4","4","15"
"16","1410","5","4","69"
"17","1409","1","3","46"
"18","1421","2","3","0"
"19","1445","3","1","34"
"20","1436","1","5","0"
"21","1426","4","3","36"
"22","1432","5","5","47"
"23","1426","5","5","36"
"24","1421","3","1","0"
"25","1445","4","4","0"
"26","1419","2","1","25"
"27","1409","2","4","16"
"28","1421","4","4","0"
"29","1418","1","1","34"
"30","1425","1","5","67"
"31","1445","5","5","0"
"32","1419","3","5","75"
"33","1416","1","4","0"
"34","1418","2","4","100"
"35","1405","1","4","33"
"36","1421","5","5","17"
"37","1434","1","5","69"
"38","1419","4","2","20"
"39","1418","3","5","0"
"40","1449","1","1","0"
"41","1442","1","4","100"
"42","1418","4","2","100"
"43","1436","2","4","0"
"44","1427","1","5","29"
"45","1419","5","3","50"
"46","1409","3","2","59"
"47","1420","1","1","0"
"48","1431","1","4","17"
"49","1449","2","3","50"
"50","1436","3","2","0"
"51","1425","2","2","35"
"52","1434","2","2","28"
"53","1436","4","3","0"
"54","1418","5","3","50"
"55","1401","1","3","66"
"56","1409","4","5","0"
"57","1436","5","1","0"
"58","1427","2","3","22"
"59","1449","3","5","0"
"60","1420","2","2","0"
"61","1442","2","2","100"
"62","1439","1","5","58"
"63","1434","3","4","42"
"64","1438","1","3","47"
"65","1427","3","4","15"
"66","1425","3","3","17"
"67","1405","2","5","69"
"68","1420","3","3","0"
"69","1401","2","5","75"
"70","1402","1","4","33"
"71","1434","4","3","51"
"72","1409","5","1","24"
"73","1427","4","1","0"
"74","1420","4","4","0"
"75","1416","2","3","16"
"76","1449","4","2","26"
"77","1425","4","4","55"
"78","1403","1","1","21"
"79","1411","1","3","16"
"80","1442","3","3","100"
"81","1420","5","5","0"
"82","1427","5","2","6"
"83","1401","3","1","25"
"84","1425","5","1","10"
"85","1416","3","1","0"
"86","1431","2","3","50"
"87","1433","1","1","0"
"88","1449","5","4","11"
"89","1405","3","1","25"
"90","1434","5","1","33"
"91","1433","2","5","0"
"92","1401","4","4","33"
"93","1442","4","5","0"
"94","1439","2","4","10"
"95","1433","3","3","0"
"96","1403","2","3","34"
"97","1424","1","3","2"
"98","1411","2","5","17"
"99","1435","1","1","25"
"100","1438","2","5","62"
"101","1433","4","4","0"
"102","1442","5","1","100"
"103","1402","2","2","38"
"104","1424","2","5","0"
"105","1433","5","2","0"
"106","1406","1","4","42"
"107","1439","3","2","100"
"108","1424","3","4","0"
"109","1403","3","4","33"
"110","1424","4","1","0"
"111","1401","5","2","99"
"112","1405","4","2","20"
"113","1411","3","1","25"
"114","1416","4","5","0"
"115","1439","4","3","50"
"116","1429","1","2","20"
"117","1407","1","4","17"
"118","1424","5","2","0"
"119","1431","3","2","100"
"120","1435","2","2","1"
"121","1438","3","2","24"
"122","1416","5","2","0"
"123","1402","3","5","37"
"124","1431","4","5","31"
"125","1405","5","3","50"
"126","1435","3","5","58"
"127","1411","4","2","26"
"128","1438","4","1","12"
"129","1430","1","1","13"
"130","1412","1","1","8"
"131","1422","1","3","50"
"132","1414","1","4","16"
"133","1403","4","2","19"
"134","1439","5","1","25"
"135","1411","5","4","16"
"136","1435","4","3","11"
"137","1438","5","4","30"
"138","1446","1","1","25"
"139","1406","2","1","24"
"140","1403","5","5","17"
"141","1414","2","1","21"
"142","1407","2","5","17"
"143","1415","1","1","25"
"144","1431","5","1","25"
"145","1406","3","2","100"
"146","1404","1","4","32"
"147","1440","1","3","50"
"148","1447","1","2","0"
"149","1406","4","3","34"
"150","1414","3","2","0"
"151","1408","1","1","24"
"152","1402","4","1","41"
"153","1412","2","3","16"
"154","1430","2","3","41"
"155","1435","5","4","8"
"156","1414","4","3","0"
"157","1422","2","5","0"
"158","1447","2","4","0"
"159","1415","2","3","33"
"160","1429","2","3","50"
"161","1446","2","4","30"
"162","1407","3","1","17"
"163","1414","5","5","5"
"164","1422","3","1","100"
"165","1402","5","3","42"
"166","1422","4","2","100"
"167","1406","5","5","58"
"168","1413","1","2","20"
"169","1415","3","5","33"
"170","1429","3","5","75"
"171","1404","2","3","48"
"172","1441","1","2","18"
"173","1446","3","5","46"
"174","1408","2","2","26"
"175","1447","3","5","17"
"176","1423","1","5","25"
"177","1407","4","3","17"
"178","1412","3","4","16"
"179","1447","4","1","0"
"180","1422","5","4","33"
"181","1447","5","3","0"
"182","1408","3","3","45"
"183","1429","4","1","25"
"184","1408","4","4","38"
"185","1441","2","5","73"
"186","1446","4","3","35"
"187","1415","4","2","51"
"188","1443","1","1","24"
"189","1408","5","5","72"
"190","1404","3","2","25"
"191","1429","5","4","0"
"192","1440","2","1","25"
"193","1413","2","5","0"
"194","1423","2","3","33"
"195","1407","5","2","11"
"196","1417","1","1","0"
"197","1404","4","5","64"
"198","1441","3","3","42"
"199","1443","2","5","33"
"200","1413","3","4","33"
"201","1440","3","2","49"
"202","1415","5","4","42"
"203","1446","5","2","21"
"204","1417","2","3","0"
"205","1404","5","1","29"
"206","1413","4","3","50"
"207","1443","3","2","44"
"208","1441","4","1","26"
"209","1428","1","2","13"
"210","1423","3","4","17"
"211","1440","4","4","54"
"212","1412","4","2","75"
"213","1444","1","2","63"
"214","1443","4","3","0"
"215","1413","5","1","25"
"216","1450","1","1","25"
"217","1417","3","4","0"
"218","1440","5","5","42"
"219","1441","5","4","32"
"220","1423","4","1","0"
"221","1423","5","2","0"
"222","1443","5","4","33"
"223","1430","3","2","48"
"224","1412","5","5","17"
"225","1428","2","3","9"
"226","1450","2","2","20"
"227","1417","4","2","0"
"228","1430","4","4","34"
"229","1450","3","5","75"
"230","1428","3","4","17"
"231","1417","5","5","0"
"232","1450","4","3","50"
"233","1448","1","1","0"
