"id","id_subj","round","session","period","id_grp","grp","time","time_start","duration","links","payoff"
"1","1445","1","15","1","46","1","1568970446","1568970302","148","[26,17,37,35,2,32,30,18,12,47,4,29,16,49,1,27,10]","-101"
"2","1424","1","15","1","24","1","1568970432","1568970302","148","[36,49,9,37,23,27,44,30,10,14,13,39]","7.5"
"3","1412","1","15","1","6","1","1568970448","1568970302","148","[16,33,21,30,29,42,13,49]","2.1"
"4","1414","1","15","1","22","1","1568970445","1568970302","148","[34,21,20,9,28,19,11,17,8,50,45,41,29,30,26]","-83.8"
"5","1416","1","15","1","9","1","1568970445","1568970302","148","[16,22,28,10,20,1]","-31.2"
"6","1450","1","15","1","48","1","1568970442","1568970302","148","[26,37,29,1,14,5,19,21,34]","-68.4"
"7","1423","1","15","1","10","1","1568970450","1568970302","148","[31,32,27,12,46,30,25,4]","-11.8"
"8","1413","1","15","1","20","1","1568970446","1568970302","148","[16,1,32,25,21,22,44,4,41,9,7,47,42,38,49,35]","-50.7"
"9","1427","1","15","1","42","1","1568970449","1568970302","148","[17,31,38,33,18,32,14,11,27,36,47,1]","13.1"
"10","1442","1","15","1","27","1","1568970439","1568970302","148","[26,14,17,49,42,13,24]","27.7"
"11","1444","1","15","1","35","1","1568970450","1568970302","148","[28,3,12,8,37,20,17,9]","98.7"
"12","1421","1","15","1","44","1","1568970426","1568970302","148","[49,35,31,25,24,27,1,14,15,2,32,10,12,29,47,8,30,34]","-12.9"
"13","1403","1","15","1","2","1","1568970449","1568970302","148","[44,30,25]","21"
"14","1420","1","15","1","39","1","1568970448","1568970302","148","[13,4,23,34,50,30,24,33,25,15]","-1"
"15","1406","1","15","1","21","1","1568970450","1568970302","148","[22,32,26,29,12,16,36,6,48,20,8,5,43,9,40,7,42,28,19]","-45.2"
"16","1410","1","15","1","32","1","1568970448","1568970302","148","[26,18,13,20,46,37,31]","-12.6"
"17","1446","1","15","1","36","1","1568970427","1568970302","148","[26,17,21,30,44,12,24,27,33,8,25,1,42,32,34]","-57.8"
"18","1419","1","15","1","43","1","1568970448","1568970302","148","[1,21,5,38,28,40]","33.8"
"19","1439","1","15","1","25","1","1568970450","1568970302","148","[38,27,15,29,10,44,42,20,1,13,36,12,8,30,4,34,2,50,16,23,28,39,14,24,47]","-88"
"20","1431","1","15","1","4","1","1568970447","1568970302","148","[16,27,9,15,40,26,1,13,39,23,46,34,25,20,44,32,7,12,10]","-104.9"
"21","1432","1","15","1","23","1","1568970449","1568970302","148","[39,4,25,10,47,14]","18.9"
"22","1409","1","15","1","38","1","1568970449","1568970302","148","[31,26,12,45,50]","60.2"
"23","1447","1","15","1","45","1","1568970449","1568970302","148","[34]","89.5"
"24","1417","1","15","1","19","1","1568970423","1568970302","148","[27,14,21,22,26,48,50,40]","-11.1"
"25","1449","1","15","1","7","1","1568970450","1568970302","148","[]","0"
"26","1415","1","15","1","33","1","1568970446","1568970302","148","[16,27,6,13,30,42,36,34,49,39]","-55.8"
"27","1425","1","15","1","49","1","1568970450","1568970302","148","[31,35,12,9,33,46,6,20,16,18,24]","-83.8"
"28","1434","1","15","1","50","1","1568970440","1568970302","148","[1,40,19,22,37,39,35,31,5,8,2,47]","-38.3"
"29","1422","1","15","1","15","1","1568970446","1568970302","148","[38,16,39]","82.5"
"30","1438","1","15","1","17","1","1568970435","1568970302","148","[49,18,9,22,11,34,45,32,28,41]","-9.1"
"31","1404","1","15","1","12","1","1568970447","1568970302","148","[36,19,9,34,4,25]","-7"
"32","1401","1","15","1","28","1","1568970449","1568970302","148","[26,17,25,40,21,5,22,35,9,41]","18.6"
"33","1426","1","15","1","13","1","1568970450","1568970302","148","[43,36,27,42,6,7,2,10,23]","51.7"
"34","1448","1","15","1","3","1","1568970449","1568970302","148","[35]","71.4"
"35","1436","1","15","1","40","1","1568970437","1568970302","148","[27,35,14,12,43,28]","49.3"
"36","1433","1","15","1","14","1","1568970425","1568970302","148","[26,10,44]","48.7"
"37","1435","1","15","1","30","1","1568970441","1568970302","148","[9,46,36,18,40,28,24,2,13,27,6,25,33,16,32,44,22,39,10]","-80.9"
"38","1418","1","15","1","5","1","1568970439","1568970302","148","[31,18,28,21,48,49,50,34,43,7,10]","142"
"39","1429","1","15","1","47","1","1568970439","1568970302","148","[16,27,31,38,11,10,34,14,12,1,20,50,7]","-22.8"
"40","1402","1","15","1","8","1","1568970447","1568970302","148","[12,22,1,27,25,40,2,37,47]","1.6"
