"id","id_subj","nb_question","nb_item","choice"
"1","18","1","1","0"
"2","13","1","3","0"
"3","18","2","3","0"
"4","13","2","4","0"
"5","18","3","4","47"
"6","23","1","4","33"
"7","13","3","5","0"
"8","18","4","2","2"
"9","18","5","5","17"
"10","13","4","1","0"
"11","36","1","2","62"
"12","23","2","3","50"
"13","13","5","2","0"
"14","23","3","2","20"
"15","36","2","3","0"
"16","23","4","5","75"
"17","23","5","1","25"
"18","36","3","5","0"
"19","4","1","5","8"
"20","36","4","1","100"
"21","43","1","2","0"
"22","25","1","1","9"
"23","4","2","1","0"
"24","29","1","4","17"
"25","4","3","4","0"
"26","47","1","4","83"
"27","4","4","2","0"
"28","25","2","3","0"
"29","43","2","5","0"
"30","33","1","4","25"
"31","4","5","3","0"
"32","47","2","3","83"
"33","34","1","3","0"
"34","43","3","3","0"
"35","29","2","2","31"
"36","36","5","4","42"
"37","47","3","2","70"
"38","25","3","5","61"
"39","43","4","4","0"
"40","34","2","5","0"
"41","11","1","4","11"
"42","43","5","1","0"
"43","47","4","5","39"
"44","25","4","2","6"
"45","34","3","2","0"
"46","47","5","1","70"
"47","33","2","5","60"
"48","34","4","4","0"
"49","29","3","5","2"
"50","34","5","1","0"
"51","32","1","5","33"
"52","11","2","1","8"
"53","25","5","4","16"
"54","39","1","3","50"
"55","33","3","3","33"
"56","29","4","1","16"
"57","50","1","4","32"
"58","32","2","4","35"
"59","11","3","2","0"
"60","29","5","3","16"
"61","33","4","2","13"
"62","44","1","2","0"
"63","11","4","5","17"
"64","32","3","3","0"
"65","22","1","4","16"
"66","50","2","2","19"
"67","33","5","1","4"
"68","26","1","2","12"
"69","44","2","1","0"
"70","39","2","5","58"
"71","32","4","2","5"
"72","44","3","5","0"
"73","11","5","3","48"
"74","32","5","1","20"
"75","44","4","3","0"
"76","27","1","1","25"
"77","44","5","4","0"
"78","16","1","4","42"
"79","24","1","5","75"
"80","19","1","1","25"
"81","50","3","3","50"
"82","39","3","2","20"
"83","16","2","3","0"
"84","19","2","3","0"
"85","50","4","1","24"
"86","22","2","2","20"
"87","26","2","3","27"
"88","10","1","2","0"
"89","19","3","2","50"
"90","6","1","3","34"
"91","39","4","4","34"
"92","17","1","2","0"
"93","12","1","4","17"
"94","50","5","5","74"
"95","17","2","4","0"
"96","19","4","4","0"
"97","19","5","5","0"
"98","10","2","3","0"
"99","17","3","5","0"
"100","26","3","4","20"
"101","45","1","5","75"
"102","16","3","2","31"
"103","22","3","5","25"
"104","8","1","4","0"
"105","10","3","1","0"
"106","5","1","5","17"
"107","17","4","3","16"
"108","10","4","5","0"
"109","27","2","2","20"
"110","17","5","1","0"
"111","26","4","1","16"
"112","46","1","5","67"
"113","16","4","5","51"
"114","39","5","1","26"
"115","6","2","4","33"
"116","14","1","2","10"
"117","10","5","4","0"
"118","5","2","2","12"
"119","8","2","5","0"
"120","24","2","3","50"
"121","5","3","1","9"
"122","8","3","1","0"
"123","22","4","1","21"
"124","5","4","3","10"
"125","16","5","1","42"
"126","5","5","4","12"
"127","12","2","3","34"
"128","26","5","5","29"
"129","8","4","3","17"
"130","6","3","5","25"
"131","27","3","4","0"
"132","35","1","2","0"
"133","48","1","1","0"
"134","22","5","3","50"
"135","8","5","2","1"
"136","30","1","1","17"
"137","6","4","2","26"
"138","45","2","2","20"
"139","12","3","5","33"
"140","35","2","1","0"
"141","27","4","5","0"
