"id","id_subj","nb_question","nb_item","choice"
"1","2364","1","2","20"
"2","2381","1","3","42"
"3","2340","1","5","70"
"4","2381","2","2","23"
"5","2348","1","4","27"
"6","2373","1","3","17"
"7","2340","2","3","50"
"8","2326","1","4","28"
"9","2381","3","4","29"
"10","2339","1","4","33"
"11","2340","3","2","16"
"12","2333","1","4","33"
"13","2315","1","2","17"
"14","2364","2","3","50"
"15","2326","2","3","21"
"16","2330","1","2","21"
"17","2340","4","4","30"
"18","2326","3","5","19"
"19","2345","1","3","17"
"20","2344","1","5","17"
"21","2326","4","2","16"
"22","2381","4","1","25"
"23","2385","1","3","0"
"24","2315","2","4","31"
"25","2310","1","5","38"
"26","2390","1","4","33"
"27","2373","2","4","0"
"28","2326","5","1","18"
"29","2339","2","1","38"
"30","2330","2","4","63"
"31","2315","3","3","40"
"32","2312","1","5","17"
"33","2340","5","1","20"
"34","2385","2","5","0"
"35","2364","3","1","17"
"36","2339","3","5","56"
"37","2333","2","3","50"
"38","2348","2","2","24"
"39","2345","2","1","12"
"40","2381","5","5","63"
"41","2330","3","3","50"
"42","2316","1","4","29"
"43","2310","2","4","19"
"44","2373","3","5","8"
"45","2389","1","3","46"
"46","2314","1","4","33"
"47","2385","3","4","0"
"48","2374","1","1","15"
"49","2347","1","1","13"
"50","2315","4","5","66"
"51","2332","1","3","66"
"52","2339","4","3","48"
"53","2377","1","5","0"
"54","2333","3","5","75"
"55","2313","1","5","0"
"56","2390","2","1","50"
"57","2373","4","2","12"
"58","2330","4","1","0"
"59","2364","4","5","35"
"60","2385","4","1","9"
"61","2390","3","5","0"
"62","2344","2","1","83"
"63","2310","3","2","13"
"64","2337","1","2","17"
"65","2345","3","5","17"
"66","2346","1","5","45"
"67","2342","1","5","75"
"68","2330","5","5","75"
"69","2385","5","2","0"
"70","2313","2","2","0"
"71","2364","5","4","34"
"72","2345","4","2","37"
"73","2389","2","5","67"
"74","2314","2","5","75"
"75","2373","5","1","25"
"76","2344","3","3","16"
"77","2336","1","4","0"
"78","2301","1","4","0"
"79","2332","2","4","32"
"80","2360","1","5","58"
"81","2315","5","1","21"
"82","2345","5","4","17"
"83","2310","4","3","43"
"84","2302","1","2","51"
"85","2333","4","1","25"
"86","2331","1","1","59"
"87","2337","2","5","55"
"88","2312","2","2","63"
"89","2390","4","2","20"
"90","2374","2","4","35"
"91","2313","3","1","0"
"92","2337","3","3","36"
"93","2310","5","1","13"
"94","2367","1","2","20"
"95","2366","1","4","33"
"96","2342","2","1","25"
"97","2316","2","3","43"
"98","2331","2","3","25"
"99","2313","4","4","0"
"100","2344","4","2","94"
"101","2350","1","3","50"
"102","2348","3","5","75"
"103","2302","2","5","18"
"104","2347","2","4","28"
"105","2374","3","3","49"
"106","2390","5","3","50"
"107","2346","2","4","33"
"108","2333","5","2","20"
"109","2313","5","3","0"
"110","2314","3","3","50"
"111","2389","3","4","32"
"112","2339","5","2","38"
"113","2301","2","2","0"
"114","2369","1","4","33"
"115","2302","3","4","82"
"116","2337","4","1","42"
"117","2308","1","3","17"
"118","2344","5","4","17"
"119","2360","2","1","24"
"120","2392","1","1","21"
"121","2342","3","3","50"
"122","2395","1","3","50"
"123","2377","2","1","100"
"124","2338","1","4","50"
"125","2374","4","2","18"
"126","2302","4","3","6"
"127","2337","5","4","34"
"128","2316","3","1","25"
"129","2336","2","2","21"
"130","2312","3","4","16"
"131","2367","2","1","25"
"132","2349","1","3","17"
"133","2380","1","2","20"
"134","2366","2","1","25"
"135","2302","5","1","64"
"136","2389","4","2","18"
"137","2348","4","3","34"
"138","2360","3","4","17"
"139","2399","1","1","13"
"140","2331","3","2","45"
"141","2386","1","2","17"
"142","2391","1","1","25"
"143","2342","4","4","33"
"144","2353","1","3","16"
"145","2377","3","2","100"
"146","2336","3","5","0"
"147","2346","3","2","20"
"148","2397","1","4","17"
"149","2349","2","4","17"
"150","2312","4","3","17"
"151","2389","5","1","24"
"152","2369","2","1","25"
"153","2365","1","3","41"
"154","2301","3","5","0"
"155","2305","1","1","25"
"156","2388","1","1","12"
"157","2384","1","2","20"
"158","2331","4","4","33"
"159","2338","2","3","0"
"160","2392","2","2","35"
"161","2332","3","1","54"
"162","2367","3","5","75"
"163","2377","4","3","0"
"164","2314","4","1","25"
"165","2350","2","2","0"
"166","2360","4","2","21"
"167","2388","2","3","20"
"168","2317","1","2","24"
"169","2342","5","2","20"
"170","2312","5","1","83"
"171","2366","3","5","75"
"172","2346","4","1","21"
"173","2387","1","2","51"
"174","2331","5","5","0"
"175","2369","3","2","5"
"176","2377","5","4","0"
"177","2375","1","5","24"
"178","2348","5","1","22"
"179","2336","4","3","58"
"180","2392","3","4","12"
"181","2374","5","5","29"
"182","2338","3","1","38"
"183","2357","1","1","0"
"184","2368","1","1","18"
"185","2353","2","2","20"
"186","2386","2","4","17"
"187","2399","2","2","10"
"188","2391","2","5","75"
"189","2301","4","3","0"
"190","2320","1","1","25"
"191","2349","3","2","9"
"192","2343","1","1","24"
"193","2329","1","4","33"
"194","2309","1","4","17"
"195","2360","5","3","18"
"196","2388","3","2","8"
"197","2395","2","2","20"
"198","2346","5","3","33"
"199","2352","1","1","12"
"200","2384","2","4","33"
"201","2392","4","5","14"
"202","2338","4","2","25"
"203","2397","2","5","33"
"204","2332","4","5","42"
"205","2367","4","4","33"
"206","2316","4","5","62"
"207","2338","5","5","0"
"208","2349","4","5","25"
"209","2380","2","5","75"
"210","2347","3","2","31"
"211","2392","5","3","50"
"212","2308","2","1","25"
"213","2311","1","4","17"
"214","2350","3","4","67"
"215","2314","5","2","20"
"216","2336","5","1","27"
"217","2309","2","3","67"
"218","2357","2","4","12"
"219","2353","3","1","0"
"220","2369","4","3","33"
"221","2399","3","5","17"
"222","2391","3","4","16"
"223","2301","5","1","0"
"224","2395","3","4","33"
"225","2375","2","3","30"
"226","2311","2","3","39"
"227","2328","1","3","83"
"228","2349","5","1","42"
"229","2317","2","5","58"
"230","2309","3","1","0"
"231","2367","5","3","50"
"232","2366","4","3","50"
"233","2352","2","3","0"
"234","2380","3","3","50"
"235","2319","1","4","33"
"236","2347","4","3","48"
"237","2387","2","5","37"
"238","2353","4","4","0"
"239","2388","4","5","42"
"240","2384","3","5","75"
"241","2308","3","2","20"
"242","2370","1","2","20"
"243","2376","1","3","16"
"244","2400","1","3","33"
"245","2305","2","5","0"
"246","2309","4","2","25"
"247","2395","4","5","75"
"248","2375","3","1","15"
"249","2311","3","5","0"
"250","2317","3","4","33"
"251","2384","4","1","25"
"252","2386","3","5","42"
"253","2352","3","4","0"
"254","2343","2","3","17"
"255","2357","3","3","8"
"256","2353","5","5","0"
"257","2351","1","2","20"
"258","2375","4","4","27"
"259","2368","2","4","20"
"260","2380","4","4","33"
"261","2388","5","4","16"
"262","2332","5","2","60"
"263","2369","5","5","72"
"264","2352","4","5","0"
"265","2391","4","2","20"
"266","2317","4","3","50"
"267","2399","4","4","17"
"268","2309","5","5","100"
"269","2335","1","1","38"
"270","2304","1","1","25"
"271","2395","5","1","24"
"272","2384","5","3","50"
"273","2347","5","5","54"
"274","2343","3","4","0"
"275","2316","5","2","24"
"276","2357","4","5","45"
"277","2375","5","2","30"
"278","2365","2","2","24"
"279","2329","2","2","20"
"280","2306","1","2","20"
"281","2350","4","1","25"
"282","2305","3","2","20"
"283","2320","2","5","49"
"284","2387","3","4","58"
"285","2311","4","1","51"
"286","2386","4","3","50"
"287","2343","4","5","0"
"288","2308","4","5","75"
"289","2394","1","1","24"
"290","2335","2","3","0"
"291","2372","1","5","73"
"292","2399","5","3","17"
"293","2391","5","3","50"
"294","2366","5","2","20"
"295","2329","3","3","50"
"296","2305","4","3","50"
"297","2350","5","5","75"
"298","2383","1","2","13"
"299","2352","5","2","13"
"300","2351","2","4","33"
"301","2397","3","2","50"
"302","2317","5","1","25"
"303","2319","2","1","25"
"304","2308","5","4","34"
"305","2343","5","2","19"
"306","2357","5","2","0"
"307","2387","4","3","50"
"308","2380","5","1","25"
"309","2329","4","5","75"
"310","2328","2","1","100"
"311","2335","3","2","51"
"312","2358","1","5","55"
"313","2386","5","1","0"
"314","2306","2","3","0"
"315","2311","5","2","52"
"316","2335","4","5","0"
"317","2304","2","3","50"
"318","2329","5","1","25"
"319","2320","3","4","17"
"320","2368","3","3","8"
"321","2319","3","5","0"
"322","2397","4","1","50"
"323","2328","3","2","100"
