"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","r","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","correct_comp","B5","final_pay"
"2396","24","1","1","150.128.49.2","c32","1581497373",NULL,"30","100","7","22","1","FICO","4","62","2","41","5","6","100","100","280,302,107,329,145,293","60","360",NULL,"800","220","50","5","7","2","10","80","3","387.1","Conectarme con los que obtenian mas beneficio y evitar conectarme con los que obtenian perdidas","conectarse con los mas potenciadores",,"4,1,3,5,2","1","6","30","30","4","0,0,0,1,1","0.1","5","6","6","1","5","5","1","5","3,3,3,3,2,2,1,4,2,2","8"
"2399","24","1","2","150.128.49.2","c46","1581497381",NULL,"30","100","7","18","1",,"1","203","0","41","1","6","100","100","280,302,107,329,145,293","60","360",NULL,"800","220","50","5","6","2","10","80","3","4030.1","intentar unirme a aquellas personas que estuvieran en los extremos","unirse a todos",,"1,2,5,4,3","1","6","34.8","15.6","3","0,0,0,1,1","2","5","5","3","1","5","4","8","3","3,4,3,2,0,1,4,4,2,2","26.4"
"2313","24","1","3","147.156.150.53","l75","1581496818",NULL,"30","100","7","18","0",,"4","203","0","41","4","6","100","100","280,302,107,329,145,293","60","360",NULL,"800","220","50","5","4","2","10","80","3","1620.4","Hacer un único enlace con el que más enlaces tenía.","Muchos al final siguieron mi estrategia, otros no supieron el truco ni aun en la ronda final.","Muy buen experimento, que me encantaría repetir. ","5,2,1,4,3","2","6","40","0","1","0,0,0,0,0","1.6","5","6","6","2","5","4","1","3","0,4,4,1,4,4,2,2,4,3","15.1"
"2397","24","1","4","150.128.49.2","c45","1581497373",NULL,"30","100","7","24","0","FiCo","4","203","0","41","1","6","100","100","280,302,107,329,145,293","60","360",NULL,"800","220","50","5","6","2","10","80","3","748.1","Intentar no incurrir en más gastos en conexiones que beneficios aportaban estas.","Intentar conseguir las máximas conexiones para maximizar sus beneficios.",,"4,5,2,1,3","5","6","80.4","13.2","3","0,0,0,0,0","2","5","5","6","1","1","3","1","4","3,4,4,3,3,3,2,3,2,1","12.6"
"2306","24","1","5","147.156.150.57","l72","1581496801",NULL,"30","100","7","20","1","Ingeniera biomédica","4","203","0","41","1","6","100","100","280,302,107,329,145,293","60","360",NULL,"800","220","50","5","8","2","10","80","3","1625.4","Intentar realizar el mayor número de conexiones beneficiosas posibles","La misma que la mía",,"2,3,1,4,5","3","6","60","0","3","0,0,0,1,1","1.6","5","5","6","1","5","5","1","6","2,4,0,4,1,3,0,3,0,3","15.8"
"2368","24","1","6","150.128.49.2","c36","1581497273",NULL,"30","100","7","21","1","Publicidad","4","203","0","41","1","6","100","100","280,302,107,329,145,293","60","360",NULL,"800","220","50","5","1","2","10","80","3","49.4","Unirme a quien tuviera más posibilidades de conexión","No aceptar relaciones por no gastar puntos ",,"1,4,3,2,5","5","6","110.4","3.2","4","0,0,0,1,1","3.85","5","3","6","2","5","4","1","3","1,3,3,1,1,3,1,2,3,3","11.7"
"2301","24","1","7","147.156.150.7","l11","1581496784",NULL,"30","100","7","19","0",,"4","203","0","41","1","6","100","100","280,302,107,329,145,293","60","360",NULL,"800","220","50","5","5","2","10","80","3","721.2","Conseguir algun enlace pero sin pasarme","conseguir muchos enlaces de conexion entre otros jugadores para sacar mas puntos",,"4,2,5,3,1","3","6","60","0","4","0,0,0,1,1","3.85","5","5","6","0","7","4","8","2","1,3,4,3,1,4,1,4,1,4","13.6"
"2398","24","1","8","150.128.49.2","c12","1581497380",NULL,"30","100","7","19","0","Ciencias","4","203","0","41","1","6","100","100","280,302,107,329,145,293","60","360",NULL,"800","220","50","5","2","2","10","80","3","1362.5","Intentar realizar el número minimo de conexiones que me dieran el máximo beneficio durante el máximo tiempo posible","Realizar constantemente conexiones independientemente del coste de cada enlace","Un experimento bastante divertido","2,1,4,5,3","1","6","35.2","14.4","2","0,0,1,1,1","2","5","5","6","1","4","4","2","3","0,4,4,3,1,4,3,2,3,4","14.3"
"2371","24","1","9","150.128.49.2","c25","1581497281",NULL,"30","100","7","69","0","Economía","2","203","0","41","4","6","100","100","280,302,107,329,145,293","60","360",NULL,"800","220","50","5","8","2","10","80","3","738.5","No hacer muchos enlaces por su coste","No lo sé, es la primera vez que participo.",,"3,5,1,4,2","1","6","29.2","32.4","5","0,0,0,1,1","3.85","5","5","6","3","5","1","9","3","3,3,0,2,1,2,1,2,3,3","13.2"
"2350","24","1","10","147.156.150.19","l25","1581496994",NULL,"30","100","7","21","0","Magisterio","4","203","0","41","1","6","100","100","280,302,107,329,145,293","60","360",NULL,"800","220","50","5","2","2","10","80","3","1467","Mi estrategia principal en este experimento fue establecer conexiones con el mayor numero de símbolos sin tener un elevado coste de enlace.","Pienso que des de el principio era clave establecer conexiones con los demás, aunque tengo que decir que a veces la mayoría de la gente evitaba establecer conexiones por el elevado coste que suponía.","PIENSO QUE DEBERÍAN DE HABER EXPLICADO CON MÁS DETALLE(INCLUSO ALGUNA PRUEBA O PRÁCTICA DE MÁS)EL PROCESO DE CONSEGUIR LOS PUNTO. A PESAR DE ESO LAS EXPLICACIONES QUE HAN REALIZADO ERAN BUENAS Y MUY EFICIENTES.","3,2,4,1,5","2","6","40","0","2","0,0,0,0,1","1.6","5","6","6","0","1","5","1","3","0,4,2,4,0,4,0,3,1,4","14.4"
