"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","comp_7","comp_8","correct_comp","B5","final_pay"
"501","6","1","1","147.156.150.62","l81","1562234479",NULL,"30","100","7","19","1","Derecho ","2","203","0","41","3","6","100","100","261,222,102,211,295,323","60","360",NULL,"800","220","50","5","5","2","10","80","2231.3","Ser selectiva a la hora de hacer conexiones y a su vez, ver si los otros también lo eran, observando las redes de conexiones. Por otra parte observar quiénes eran los que tenían mayores beneficios para ver cuántas conexiones tenían. Se podía ver que los más selectivos tenían más puntuación debido a que tenían menos costes de conexión. ","En algunos casos algunos optaban por hacer el máximo número de conexiones para obtener supongo el mayor número de beneficios. Otros sin embargo, tenían en cuenta que cuantas más conexiones más costes.",,"4,3,1,5,2","1","6","30","30","1","0,0,1,1,1","1.6","5","5","6","4","1","68","54",NULL,NULL,"3","0,4,3,4,0,4,1,4,3,3","17.7"
"506","6","1","2","147.156.150.45","l62","1562234488",NULL,"30","100","7","21","0","Economia","3","203","2","41","4","6","100","100","261,222,102,211,295,323","60","360",NULL,"800","220","50","5","5","2","10","80","345.6","al principio crear muchas enlaces, pero después me di cuenta que no me favoracía muhco así que deje de ccrear muchos y centrarme en pocos enlaces pero mejores","esperar y luego servir de conexion",,"5,2,3,4,1","4","6","35.4","49.2","5","0,0,0,1,1","3.85","5","3","4","1","32","67","4",NULL,NULL,"1","1,0,2,4,3,4,1,4,3,2","11.3"
"586","6","1","3","150.128.49.2","c22","1562235139",NULL,"30","100","7","18","0","Ingeniería informática","1","172","2","41","4","6","100","100","261,222,102,211,295,323","60","360",NULL,"800","220","50","5","1","2","10","80","1660","Intentar conectarme con otras personas de forma aleatoria observando los puntos que conseguía por conexión y si me favorecía o no esa conexión, intentando en todo momento no hacer muchas conexiones innecesarias","Hacer conexiones de forma aleatoria y ver lo que más les convenía",,"1,4,3,2,5","5","6","39.6","26.8","2","0,0,0,0,0","1.6","5","5","6","0","88","72","30",NULL,NULL,"2","4,1,3,2,3,1,1,3,4,2","15.2"
"561","6","1","4","150.128.49.2","c03","1562235075",NULL,"30","100","7","23","1","Economía","4","203","4","41","8","6","100","100","261,222,102,211,295,323","60","360",NULL,"800","220","50","5","6","2","10","80","1750.4","Conseguir conectarme con el nodo que mayor beneficio me conseguiría","la misma que la mia",,"1,2,4,3,5","1","6","34.8","15.6","2","0,0,0,1,1","1.6","5","5","6","1","97","13","46",NULL,NULL,"3","3,4,3,1,3,3,1,3,1,3","15.6"
"583","6","1","5","150.128.49.2","c21","1562235134",NULL,"30","100","7","26","0","MEDICINA","4","203","0","41","1","6","100","100","261,222,102,211,295,323","60","360",NULL,"800","220","50","5","2","2","10","80","2001.3","Hacer pocos enlaces para no pagar mucha renta por enlace","Un poco aleatorio",,"2,1,3,4,5","5","6","120","0","2","0,1,1,1,1","0.1","5","5","6","1","88","68","37",NULL,NULL,"4","3,4,1,1,4,3,0,3,4,2","17"
"536","6","1","6","147.156.150.15","l21","1562234529",NULL,"30","100","7","19","1","Psicología","4","203","0","41","0","6","100","100","261,222,102,211,295,323","60","360",NULL,"800","220","50","5","4","2","10","80","2377.5","Mantener siempre un número constante de puntos entre 200-300","Hacer el mayor número de enlaces posible",,"1,3,4,2,5","2","6","23.2","67.2","4","0,0,0,0,1","2","5","6","6","1","3","99","37",NULL,NULL,"3","3,4,3,1,1,1,0,4,3,2","18.7"
"523","6","1","7","147.156.150.24","l44","1562234508",NULL,"30","100","7","20","0",,"4","203","0","41","1","6","100","100","261,222,102,211,295,323","60","360",NULL,"800","220","50","5","8","2","10","80","2218.8","Realizar una conexión grande y buscar conexiones menores de 1-2 después.","Realizar varias conexiones de 3-4 personas.",,"1,4,2,3,5","5","6","120","0","1","0,0,0,0,1","2","5","6","6","1","1","36","37",NULL,NULL,"4","1,4,3,3,2,3,1,2,0,3","19.9"
"502","6","1","8","147.156.150.56","l71","1562234480",NULL,"30","100","7","27","1","MBA","5","47","2","41","4","6","100","100","261,222,102,211,295,323","60","360",NULL,"800","220","50","5","3","2","10","80","2218.1","en el primer minuto conseguir un valor positivo con mis conexiones, no hacer demasiadas y en el resto de tiempo de acuerdo al comportamiento, es decir si veía que me bajaban mucho las ganancias (poniendose en negativo), hacia otra conexión, de lo contrario no. ","Pienso que algunos siguieron mi misma estrategia, porque observaba como resultado final valores positivos",,"4,1,5,3,2","3","6","50.4","9.6","5","0,0,0,1,1","3.85","5","4","6","1","3","67","85",NULL,NULL,"2","4,4,2,4,3,2,1,3,1,3","20.2"
"528","6","1","9","147.156.150.27","l45","1562234514",NULL,"30","100","7","20","1",,"4","203","0","41","12","6","100","100","261,222,102,211,295,323","60","360",NULL,"800","220","50","5","3","2","10","80","1836","Cambiar mi posición si mis puntos disminuian","No lose",,"4,3,5,2,1","4","6","40.2","39.6","2","1,1,1,1,1","0.1","5","2","4","1","1","69","37",NULL,NULL,"3","3,4,1,4,2,3,0,4,0,2","14.7"
"510","6","1","10","147.156.150.64","l83","1562234491",NULL,"30","100","7","20","1","Finanzas y Contabilidad","4","203","0","8","4","6","100","100","261,222,102,211,295,323","60","360",NULL,"800","220","50","5","1","2","10","80","1814.6","Intentar mantenerme siempre en un mismo numero, tratando de que la cifra no disminuyera en exceso.","Tratar de buscar nodos que diesen altas puntuaciones.",,"5,2,1,3,4","4","6","48","24","4","0,0,0,0,1","2","5","6","3","2","1","68","37",NULL,NULL,"2","4,4,3,4,0,3,0,3,1,4","16.5"
