"id","id_subj","round","session","period","id_grp","grp","time","time_start","duration","links","payoff"
"63","2035","2","21","1","9","1","1572446581","1572446228","264","[3,4,8,1]","23.7"
"64","2023","2","21","1","5","4","1572446582","1572446228","264","[3]","22"
"65","2036","2","21","1","4","2","1572446492","1572446228","264","[10,2,9,5,6,3,7,8,1]","50.5"
"66","2001","2","21","1","6","4","1572446581","1572446228","264","[3,1,9]","22"
"67","2002","2","21","1","3","1","1572446583","1572446228","264","[1,4,7,9,8,2,10,5,6]","16.5"
"68","2025","2","21","1","2","4","1572446569","1572446228","264","[10]","19.5"
"69","2027","2","21","1","3","2","1572446582","1572446228","264","[2,5,6,9,7,10,4,8]","23.1"
"70","2040","2","21","1","10","1","1572446583","1572446228","264","[4,2,5,8]","17.7"
"71","2038","2","21","1","1","4","1572446565","1572446228","264","[3]","22"
"72","2016","2","21","1","10","2","1572446583","1572446228","264","[6,8,7,9,3]","14.2"
"73","2039","2","21","1","8","2","1572446582","1572446228","264","[7,4,10]","17.7"
"74","2032","2","21","1","6","1","1572446580","1572446228","264","[5,10,4]","17.7"
"75","2012","2","21","1","9","4","1572446574","1572446228","264","[3,5]","22"
"76","2030","2","21","1","1","2","1572446557","1572446228","264","[9,4,3,8,7,10]","20.4"
"77","2011","2","21","1","10","4","1572446581","1572446228","264","[3,4,8,2,7]","33.9"
"78","2022","2","21","1","3","3","1572446583","1572446228","264","[4,6,1,9,5]","14.9"
"79","2026","2","21","1","8","4","1572446500","1572446228","264","[5,1,7,3]","16.5"
"80","2010","2","21","1","9","2","1572446581","1572446228","264","[3,2]","17.8"
"82","2017","3","21","1","3","2","1572446791","1572446650","355","[1,5,8,7,4,10,2]","45.8"
"81","2020","3","21","1","8","1","1572446794","1572446650","355","[10,9,2,1,4,6]","18.3"
"83","2003","3","21","1","10","3","1572446814","1572446650","355","[3,7,2,9,4]","15.1"
"84","2029","3","21","1","8","3","1572446805","1572446650","355","[4,7,6,1,9,5]","12.4"
"85","2034","3","21","1","2","1","1572446813","1572446650","355","[9,10,3,5,4,7,1,6,8]","32.9"
"86","2007","3","21","1","7","4","1572446729","1572446650","355","[1,6,5,9,3,8,2,4,10]","42.4"
"87","2024","3","21","1","4","3","1572446808","1572446650","355","[5,3,10]","34.7"
"88","2019","3","21","1","5","2","1572446807","1572446650","355","[6,3]","23.2"
"89","2028","3","21","1","1","1","1572446806","1572446650","355","[9,3,8]","16"
"90","2021","3","21","1","6","4","1572446814","1572446650","355","[9,7,8]","12.7"
"91","2036","3","21","1","10","2","1572446813","1572446650","355","[9,7,6,1,5,8]","14.9"
"92","2001","3","21","1","10","4","1572446811","1572446650","355","[7]","22"
"93","2005","3","21","1","7","2","1572446813","1572446650","355","[6,8,2,1,9]","26.6"
"94","2014","3","21","1","7","3","1572446812","1572446650","355","[3,2,8,4,9,1,6,10,5]","11.3"
"95","2002","3","21","1","5","1","1572446814","1572446650","355","[2,7]","16.6"
"96","2004","3","21","1","7","1","1572446811","1572446650","355","[3,4,6,10,1,9,2,5]","13.3"
"97","2038","3","21","1","1","4","1572446814","1572446650","355","[3,9]","17.4"
"98","2015","3","21","1","4","1","1572446813","1572446650","355","[9,3,10,1,2,6]","10.8"
"99","2018","3","21","1","9","1","1572446813","1572446650","355","[2,7]","16.5"
"100","2010","3","21","1","2","2","1572446813","1572446650","355","[3,6,1,5,9]","17.7"
"101","2030","3","21","1","1","2","1572446812","1572446650","355","[5,8,2,9]","10.5"
"102","2037","3","21","1","6","2","1572446814","1572446650","355","[1,5,7]","16.5"
"103","2040","3","21","1","10","1","1572446811","1572446650","355","[3,7,8,4]","16.3"
"104","2026","3","21","1","3","4","1572446738","1572446650","355","[1,8,7,10,4,2,5,6]","18.3"
"105","2033","3","21","1","3","3","1572446810","1572446650","355","[8,1,4]","18.7"
"106","2016","3","21","1","4","2","1572446807","1572446650","355","[1,2,7,3]","19.5"
"107","2039","3","21","1","8","2","1572446804","1572446650","355","[6,3,4,10,7,9,1]","42.5"
"108","2027","3","21","1","9","2","1572446813","1572446650","355","[1,4,5,10,8,2]","9.2"
"109","2006","3","21","1","2","3","1572446810","1572446650","355","[7,5,9,10]","12.2"
"110","2011","3","21","1","4","4","1572446813","1572446650","355","[3,8,5]","12.7"
"111","2025","3","21","1","2","4","1572446801","1572446650","355","[7]","22"
"112","2032","3","21","1","3","1","1572446812","1572446650","355","[1,9,4,5,2,6]","14.7"
"113","2009","3","21","1","1","3","1572446806","1572446650","355","[5]","22"
"114","2031","3","21","1","9","3","1572446813","1572446650","355","[4,5,10,3]","18.5"
"115","2013","3","21","1","8","4","1572446814","1572446650","355","[10,3,6,7,4]","12.5"
"116","2012","3","21","1","9","4","1572446812","1572446650","355","[6,5,7,4,1,8]","17.2"
"117","2023","3","21","1","5","4","1572446803","1572446650","355","[4,7,9,10,6]","17.2"
"118","2022","3","21","1","6","3","1572446810","1572446650","355","[8,5]","15.7"
"119","2008","3","21","1","5","3","1572446741","1572446650","355","[1,6,8,10,4,2,3,7,9]","49.8"
"120","2035","3","21","1","6","1","1572446812","1572446650","355","[4,3,10,5,1,8,9,2]","6.9"
"121","2002","4","21","1","6","1","1572447312","1572447067","164","[5,8,3,1,9,4]","10.1"
"122","2023","4","21","1","5","4","1572447380","1572447067","164","[9,8]","22.9"
"123","2037","4","21","1","10","2","1572447354","1572447067","164","[2]","17.9"
"124","2034","4","21","1","3","1","1572447380","1572447067","164","[2,10,4,8,5,9]","26"
"125","2017","4","21","1","7","2","1572447379","1572447067","164","[6,10,1,2,8,9]","5"
"126","2009","4","21","1","5","3","1572447380","1572447067","164","[8,9,10]","17.2"
"127","2036","4","21","1","1","2","1572447377","1572447067","164","[5,6,7,3,2]","7.7"
"128","2026","4","21","1","9","4","1572447141","1572447067","164","[1,4,7,6,5,8,10,2,3]","76.9"
"129","2028","4","21","1","8","1","1572447376","1572447067","164","[9,3]","16.5"
"130","2018","4","21","1","2","1","1572447378","1572447067","164","[7]","18.2"
"131","2015","4","21","1","7","1","1572447375","1572447067","164","[8,2,9,1,5,4,3]","32"
"132","2008","4","21","1","10","3","1572447377","1572447067","164","[8,7,9,2,4,3]","14"
"133","2003","4","21","1","9","3","1572447378","1572447067","164","[5,1,7,3,2]","32"
"134","2027","4","21","1","3","2","1572447380","1572447067","164","[5,4,10,9,6,8]","13.2"
"135","2039","4","21","1","6","2","1572447378","1572447067","164","[9,8,3,7,4,2,1]","17.7"
"136","2024","4","21","1","6","3","1572447380","1572447067","164","[1,4,2,8,3,9]","15.2"
"137","2004","4","21","1","4","1","1572447378","1572447067","164","[5,2,7,6,1,3,10]","21.5"
"138","2010","4","21","1","9","2","1572447380","1572447067","164","[10,8,1,6,7,4,3]","8.3"
"139","2029","4","21","1","2","3","1572447365","1572447067","164","[9,5,8]","32.2"
"140","2022","4","21","1","7","3","1572447367","1572447067","164","[9,1,10,3,4]","26.4"
"141","2038","4","21","1","10","4","1572447374","1572447067","164","[9,4,3]","16.5"
"142","2021","4","21","1","1","4","1572447380","1572447067","164","[9,5,2]","22.9"
"143","2025","4","21","1","6","4","1572447375","1572447067","164","[7,9,8,3,10,5]","25.3"
"144","2020","4","21","1","9","1","1572447380","1572447067","164","[7,8,6,10,5,3,4,1]","29.3"
"145","2030","4","21","1","2","2","1572447354","1572447067","164","[5,3,8,10,6,4,1,7,9]","22"
"146","2040","4","21","1","10","1","1572447380","1572447067","164","[8,6,9,1,3,4,5]","10.9"
"147","2011","4","21","1","4","4","1572447360","1572447067","164","[9,5,3,1,10]","16.5"
"148","2012","4","21","1","2","4","1572447366","1572447067","164","[9,3,5,7]","22.3"
"149","2019","4","21","1","4","2","1572447380","1572447067","164","[9,10,2,5,7,8]","14.2"
"150","2014","4","21","1","1","3","1572447372","1572447067","164","[8]","20.7"
"151","2006","4","21","1","3","3","1572447377","1572447067","164","[6,2,7,5,10,8]","14"
"152","2005","4","21","1","8","2","1572447373","1572447067","164","[10,5,4,6]","14.3"
"153","2031","4","21","1","8","3","1572447371","1572447067","164","[2,10,4,6,1,7,3]","39.4"
"154","2033","4","21","1","4","3","1572447380","1572447067","164","[9,10,8]","15.2"
"155","2032","4","21","1","5","1","1572447369","1572447067","164","[3]","19.9"
"156","2035","4","21","1","1","1","1572447378","1572447067","164","[5,2,8,3,9,4,6]","10.1"
"157","2001","4","21","1","8","4","1572447376","1572447067","164","[9,2]","22.9"
"158","2007","4","21","1","7","4","1572447370","1572447067","164","[1,6,2]","14.9"
"159","2016","4","21","1","5","2","1572447368","1572447067","164","[]","0"
"160","2013","4","21","1","3","4","1572447380","1572447067","164","[8,2,9]","17.4"
"161","2038","5","21","1","7","4","1572447685","1572447495","313","[10,4]","15.7"
"162","2023","5","21","1","9","4","1572447668","1572447495","313","[6,2]","21.2"
"163","2036","5","21","1","9","2","1572447687","1572447495","313","[10,7]","18.4"
"164","2027","5","21","1","3","2","1572447676","1572447495","313","[9,2,6,10,4]","15.7"
"165","2024","5","21","1","7","3","1572447674","1572447495","313","[6,1,4,5,8,9,3,10]","16"
"166","2025","5","21","1","10","4","1572447686","1572447495","313","[7,4,3,5,6,1]","13"
"167","2034","5","21","1","6","1","1572447668","1572447495","313","[3,9,2,8,10,7]","53.5"
"168","2009","5","21","1","2","3","1572447686","1572447495","313","[6,1,8,3,9]","8.9"
"169","2029","5","21","1","8","3","1572447687","1572447495","313","[4,2,5,1,9]","11.9"
"170","2028","5","21","1","10","1","1572447553","1572447495","313","[3]","19.9"
"171","2018","5","21","1","5","1","1572447687","1572447495","313","[8]","15.4"
"172","2015","5","21","1","2","1","1572447552","1572447495","313","[3]","19.9"
"173","2033","5","21","1","6","3","1572447686","1572447495","313","[3,2,10,5,1,9]","7.5"
"174","2026","5","21","1","4","4","1572447663","1572447495","313","[1,2,7,6,3,9,10,8,5]","36.2"
"175","2031","5","21","1","10","3","1572447686","1572447495","313","[1,5,9,3]","17.4"
"176","2014","5","21","1","1","3","1572447687","1572447495","313","[9]","22.9"
"177","2002","5","21","1","3","1","1572447541","1572447495","313","[6,10,8,7,4,2,9,1,5]","57.2"
"178","2017","5","21","1","4","2","1572447667","1572447495","313","[9,7,3,10,5]","29.4"
"179","2004","5","21","1","1","1","1572447687","1572447495","313","[2,10,7,6,9,4]","15.5"
"180","2037","5","21","1","1","2","1572447658","1572447495","313","[8,3,7,10,4,5,2,6,9]","16.3"
"181","2019","5","21","1","5","2","1572447664","1572447495","313","[7,9,2,4,3,1,8,6]","32.8"
"182","2022","5","21","1","5","3","1572447687","1572447495","313","[6,7,9]","17.7"
"183","2020","5","21","1","9","1","1572447671","1572447495","313","[1,3]","19.4"
"184","2010","5","21","1","6","2","1572447671","1572447495","313","[8,7,1,10,5]","16.3"
"185","2030","5","21","1","10","2","1572447638","1572447495","313","[4,6,2,8,5,3,1,9,7]","33.5"
"186","2013","5","21","1","8","4","1572447681","1572447495","313","[9,4,2]","17.4"
"187","2016","5","21","1","8","2","1572447685","1572447495","313","[4,3,1,6]","12.7"
"188","2021","5","21","1","1","4","1572447686","1572447495","313","[9,4,10]","15.7"
"189","2011","5","21","1","3","4","1572447673","1572447495","313","[2,5]","21.2"
"190","2005","5","21","1","7","2","1572447675","1572447495","313","[9,2,4]","16.3"
"191","2003","5","21","1","4","3","1572447685","1572447495","313","[1,5,6,10,8,9]","16.5"
"192","2039","5","21","1","2","2","1572447673","1572447495","313","[9,5]","19"
