"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","r","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","correct_comp","B5","final_pay"
"2016","21","2","3","147.156.150.31","l31","1572443086",NULL,"30","100","7","20","0","Economia","4","203","0","41","0","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","4","2","10","8","3","126.4","Mantenerme el mayor tiempo posible con una puntuación media alta, evitando moverme todo el tiempo y que asi varien demasiado las puntuaciones","Tratar de estar conectados al nodo principal",,"1,4,2,5,3","5","6","120","0","1","0,0,1,1,1","2","5","3","1","1","5","4","8","3","3,3,4,4,0,3,2,3,0,4","16.1"
"2005","21","2","4","147.156.150.40","l53","1572443047",NULL,"30","100","7","19","0","ADE","4","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","2","2","10","8","3","177.3","Intentar ser el centro del mayor numero de conexiones simple posibles","Hacer conexiones a lo loco",,"5,3,2,1,4","5","6","120","0","1","0,0,0,1,1","1.6","5","5","1","1","4","4","9","3","3,4,4,3,3,2,1,1,4,2","18.2"
"2017","21","2","5","147.156.150.37","l43","1572443087",NULL,"30","100","7","19","1","economia","4","203","0","41","3","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","6","2","10","8","3","179","conectar con puntos que estaban sueltos o que estaban conectados con pocas personas","conseguir que todos se conectaran a el",,"5,1,2,3,4","1","6","30","30","3","0,0,0,1,1","2","5","3","1","1","1","4","8","2","3,4,2,2,3,2,1,3,2,2","16.8"
"2036","21","2","6","147.156.150.9","l13","1572443147",NULL,"30","100","7","19","1",,"4","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","6","2","10","8","3","171.5","unirme al concursante que más me interesaba para conseguir el mayor de puntos posibles","ir probando",,"1,3,2,5,4","5","6","99.6","6.8","1","1,1,1,1,1","0.1","5","1","0","4","2","4","9","0","3,3,4,0,1,3,3,1,3,3","15.7"
"2010","21","2","7","147.156.150.49","l66","1572443062",NULL,"30","100","7","18","0",,"4","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","3","2","10","8","3","140.1","Al final me di cuenta que mientras menos hacia más beneficio tenía así que tendí a ser pasivo","establecer las máximas conexiones posibles","que objetivo tiene esto?","2,4,1,3,5","1","6","18.8","63.6","5","0,1,1,1,1","0.1","5","1","1","1","2","7","9","2","0,4,1,4,2,4,1,3,3,2","12.8"
"2037","21","2","8","147.156.150.25","l27","1572443148",NULL,"30","100","7","19","1","turismo","1","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","8","2","10","8","3","169.2","Buscar quien generaba más beneficios","La misma",,"3,2,4,1,5","1","6","30","30","5","0,1,1,1,1","0.1","5","1","1","1","5","4","8","3","3,4,2,4,0,3,0,4,2,3","14.5"
"2039","21","2","9","147.156.150.11","l15","1572443161",NULL,"30","100","7","20","0","magisterio","4","203","0","41","12","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","6","2","10","8","3","198.1","Realizar muchas relaciones y esperar","moverse por las conexiones que les generaban más dinero","un poco raro","4,5,3,2,1","3","6","31.2","28.8","4","0,0,0,1,1","3.85","5","1","1","0","5","4","1","3","2,2,1,1,4,4,0,3,3,2","19.8"
"2019","21","2","10","147.156.150.33","l32","1572443091",NULL,"30","100","7","21","1",,"1","235","0","41","4","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","5","2","10","8","3","191.8","conectar una vez","tocar todos los botones",,"5,3,1,4,2","3","6","30","30","5","0,0,1,1,1","3.85","5","1","1","4","5","5","9","3","3,0,2,3,0,3,0,3,3,4","19.4"
"2008","21","3","1","147.156.150.51","l65","1572443055",NULL,"30","100","7","19","0",,"3","203","0","41","3","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","9","2","10","8","3","224.8","Intentar colocarme entre el resto de participantes para hacer de nexo entre ellos.","En general, la misma.",,"4,1,2,5,3","1","6","24.8","45.6","3","0,0,0,0,1","1.6","5","5","1","0","5","5","8","4","4,3,1,4,3,2,1,3,0,1","18.8"
"2009","21","3","2","147.156.150.42","l55","1572443056",NULL,"30","100","7","19","0","Telecomunicaciones ","4","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","8","2","10","8","3","168.7","Solicitar conexión a los de más puntuación y a los que se quedaban fuera o con un solo enlace, esperando a que se desconectaran de los grandes.","Algo similar.",,"5,3,2,4,1","1","6","30","30","2","0,0,0,0,1","1.6","5","5","1","1","5","4","8","4","0,4,1,3,4,4,0,4,1,3","16.1"
