"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","comp_7","comp_8","correct_comp","B5","final_pay"
"724","8","1","1","150.128.49.2","c33","1562592406",NULL,"30","100","7","21","1","Psicología","4","180","0","30","0","6","100","100","244,312,247,344,240,356","60","360",NULL,"800","220","50","5","4","2","10","80","2484.9","Conectarme con los nodos más beneficiosos según mi punto de vista. ","La misma. ","Las instrucciones no quedaron demasiado claras. Por favor, para el siguiente experimento, intentar explicarlas mejor.","5,3,2,1,4","5","6","74.4","15.2","3","0,0,1,1,1","3.85","5","5","6","0","1","36","26",NULL,NULL,"3","1,4,1,4,1,3,2,4,1,3","22"
"713","8","1","2","150.128.49.2","c29","1562592377",NULL,"30","100","7","22","1",,"4","203","0","42","12","6","100","100","244,312,247,344,240,356","60","360",NULL,"800","220","50","5","9","2","10","80","2251.7","Sujeto intermedio","Muy pocos conseguían ser centro, otros muchos preferían optar a un lugar intermedio",,"5,1,3,4,2","2","6","29.6","41.6","5","0,0,0,1,1","0.1","5","6","4","0","3","39","38",NULL,NULL,"0","3,4,3,2,2,2,0,3,1,2","16"
"736","8","1","3","150.128.49.2","c15","1562592435",NULL,"30","100","7","21","0","finanzas y contabilidad","4","203","0","41","3","6","100","100","244,312,247,344,240,356","60","360",NULL,"800","220","50","5","8","2","10","80","2121.2","hacer pocas uniones","hacer uniones a lo loco",,"5,4,1,3,2","5","6","120","0","5","0,0,0,0,1","3.85","5","6","4","2","83","68","47",NULL,NULL,"0","0,4,2,4,2,4,0,2,0,3","21"
"735","8","1","4","150.128.49.2","c41","1562592432",NULL,"30","100","7","21","1","Ciencias Jurídicas","4","203","0","41","1","6","100","100","244,312,247,344,240,356","60","360",NULL,"800","220","50","5","9","2","10","80","1471.8","Realizaba conexiones e intentaba que el coste de las conexiones no fuera superior a las ganancias.","Realizar conexiones intentando obtener el máximo rendimiento.","Creo que se debería realizar una explicación mejor puesto que no se entiende demasiado bien el experimento. ","5,4,3,1,2","1","6","35.2","14.4","1","0,0,0,1,1","1.6","5","6","6","0","88","68","37",NULL,NULL,"2","4,4,1,3,0,3,1,3,3,3","14.3"
"796","8","1","5","147.156.150.13","l17","1562592571",NULL,"30","100","7","24","0","Química","4","203","0","41","12","6","100","100","244,312,247,344,240,356","60","360",NULL,"800","220","50","5","2","2","10","80","1973.2","Desde fuera ver qué nodos eran convenientes para mis enlaces.","La misma o tratar de ser el centro de todos los nodos teniendo la precaución de no ser no crítico.","A mi parecer no es compensativo ni representativo del trabajo de cada participante coger un momento de los 5 minutos de experimento para su compensación económica se deberían hacer promedios.","5,3,1,4,2","1","6","40","0","1","0,0,1,1,1","2","5","5","6","1","3","68","32",NULL,NULL,"3","3,4,2,2,3,1,0,3,2,3","17.1"
"799","8","1","6","147.156.150.23","l38","1562592574",NULL,"30","100","7","39","0","Ingeniería","5","203","0","41","1","6","100","100","244,312,247,344,240,356","60","360",NULL,"800","220","50","5","2","2","10","80","2251.7","Minimizar conexiones, buscando la calidad de éstas","Similar a la mia",,"1,3,4,5,2","4","6","60","0","3","0,0,0,1,1","2","5","6","6","0","3","1","1",NULL,NULL,"2","1,3,2,4,1,4,2,3,0,3","18.7"
"786","8","1","7","147.156.150.6","l12","1562592560",NULL,"30","100","7","23","1","Ingeniería Química","5","203","0","41","4","6","100","100","244,312,247,344,240,356","60","360",NULL,"800","220","50","5","9","2","10","80","2113.8","Observar qué pasaba si me unía a los nodos más conectados y a los menos. Por otro lado beneficiar al otro participante perdiendo el menor beneficio para mí.","De la mayoría seguramente la misma. De algunos, intentar conectarse lo máximo posible a otros nodos perdiendo el control de la situación.",,"3,5,1,2,4","5","6","90","10","4","0,0,0,1,1","3.85","5","6","6","1","3","67","37",NULL,NULL,"3","0,4,3,3,2,0,1,4,3,4","20.7"
"781","8","1","8","147.156.150.19","l25","1562592555",NULL,"30","100","7","21","1","Educación","4","203","0","41","12","6","100","100","244,312,247,344,240,356","60","360",NULL,"800","220","50","5","2","2","10","80","2411.3","Formar cuadrados y esperar a que los ortos participantes aceptasen, así pues, finalmente me iba si estaba perdiendo puntos.También aceptar los triángulos, pero solo a veces. ","Supongo que en general parecida a la mía aunque había algunos que no tenía tantos enlaces como otros. ",,"1,3,4,5,2","3","6","30","30","2","0,0,0,1,1","1.6","5","6","1","4","72","69","3",NULL,NULL,"0","3,4,2,2,2,4,0,4,2,4","18.2"
"756","8","1","9","147.156.150.44","l64","1562592505",NULL,"30","100","7","23","1","políticas","5","203","0","41","1","6","100","100","244,312,247,344,240,356","60","360",NULL,"800","220","50","5","4","2","10","80","1931.7","...","...","...","2,1,5,3,4","2","6","25.2","59.2","5","0,0,0,0,0","2","5","2","2","0","3","66","12",NULL,NULL,"0","2,3,1,4,2,3,0,3,0,3","16.4"
"800","8","1","10","147.156.150.51","l65","1562592654",NULL,"30","100","7","19","1","Salud","3","203","0","41","4","6","100","100","244,312,247,344,240,356","60","360",NULL,"800","220","50","5","6","2","10","80","3105.7","Dejarse llevar","Dejarse llevar también",,"3,2,1,5,4","3","6","35.4","24.6","4","0,0,0,1,1","0.1","5","5","6","2","87","13","1",NULL,NULL,"2","3,3,4,4,4,3,2,3,3,1","20.3"
