"id","id_subj","nb_question","nb_item","choice"
"1","701","1","5","0"
"2","731","1","4","33"
"3","701","2","1","100"
"4","739","1","3","50"
"5","701","3","3","0"
"6","774","1","1","25"
"7","786","1","3","34"
"8","739","2","5","75"
"9","701","4","2","100"
"10","739","3","1","25"
"11","796","1","5","0"
"12","731","2","5","75"
"13","774","2","4","0"
"14","701","5","4","33"
"15","739","4","2","20"
"16","756","1","2","37"
"17","739","5","4","55"
"18","796","2","3","0"
"19","774","3","3","50"
"20","756","2","1","44"
"21","786","2","5","25"
"22","731","3","3","50"
"23","800","1","3","41"
"24","727","1","5","74"
"25","774","4","5","0"
"26","756","3","5","36"
"27","796","3","1","0"
"28","756","4","3","69"
"29","796","4","4","0"
"30","756","5","4","43"
"31","724","1","5","38"
"32","727","2","4","35"
"33","785","1","1","21"
"34","796","5","2","0"
"35","800","2","2","11"
"36","731","4","1","25"
"37","774","5","2","20"
"38","727","3","1","26"
"39","729","1","3","34"
"40","750","1","3","0"
"41","760","1","1","20"
"42","727","4","3","38"
"43","724","2","3","22"
"44","778","1","3","45"
"45","760","2","3","18"
"46","775","1","3","16"
"47","776","1","5","0"
"48","718","1","3","0"
"49","784","1","3","50"
"50","785","2","4","33"
"51","727","5","2","25"
"52","786","3","1","25"
"53","760","3","2","24"
"54","800","3","1","0"
"55","730","1","5","38"
"56","760","4","4","64"
"57","760","5","5","23"
"58","717","1","3","0"
"59","764","1","4","17"
"60","789","1","2","20"
"61","800","4","5","64"
"62","702","1","4","17"
"63","731","5","2","20"
"64","724","3","2","12"
"65","750","2","1","24"
"66","714","1","2","20"
"67","776","2","3","1"
"68","778","2","5","66"
"69","775","2","5","26"
"70","785","3","2","20"
"71","745","1","3","0"
"72","764","2","2","0"
"73","750","3","4","0"
"74","745","2","5","0"
"75","800","5","4","11"
"76","753","1","5","58"
"77","713","1","5","2"
"78","709","1","5","0"
"79","702","2","3","35"
"80","724","4","1","10"
"81","717","2","4","1"
"82","773","1","3","50"
"83","745","3","4","0"
"84","764","3","1","26"
"85","786","4","2","20"
"86","785","4","5","56"
"87","769","1","1","0"
"88","745","4","2","0"
"89","718","2","1","0"
"90","766","1","3","41"
"91","789","2","1","25"
"92","750","4","2","0"
"93","784","2","1","25"
"94","745","5","1","0"
"95","775","3","1","8"
"96","737","1","1","17"
"97","735","1","5","0"
"98","776","3","1","0"
"99","750","5","5","0"
"100","716","1","4","34"
"101","753","2","2","0"
"102","764","4","5","0"
"103","724","5","4","16"
"104","768","1","1","0"
"105","779","1","4","17"
"106","721","1","3","17"
"107","730","2","2","0"
"108","785","5","3","50"
"109","753","3","3","0"
"110","709","2","2","0"
"111","778","3","2","21"
"112","714","2","1","25"
"113","764","5","3","48"
"114","702","3","1","19"
"115","775","4","4","8"
"116","786","5","4","0"
"117","730","3","4","0"
"118","709","3","4","0"
"119","718","3","4","0"
"120","751","1","3","50"
"121","768","2","2","100"
"122","708","1","5","40"
"123","776","4","2","0"
"124","730","4","3","0"
"125","773","2","4","33"
"126","780","1","3","49"
"127","737","2","5","42"
"128","729","2","4","58"
"129","730","5","1","0"
"130","753","4","4","8"
"131","778","4","4","36"
"132","712","1","1","0"
"133","718","4","2","0"
"134","709","4","3","0"
"135","742","1","1","25"
"136","705","1","4","33"
"137","768","3","3","0"
"138","772","1","1","25"
"139","714","3","5","75"
"140","735","2","4","17"
"141","702","4","5","10"
"142","789","3","4","33"
"143","718","5","5","0"
"144","709","5","1","0"
