"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","comp_7","comp_8","correct_comp","B5","final_pay"
"312","4","1","1","147.156.150.61","l77","1559049095",NULL,"30","100","7","20","0","Diseño ","4","203","0","41","3","6","50","50","251,196,354,191,210,356","60","360",NULL,"400","110","50","5","3","2","10","40","1129.1","Hacer un emparejamiento al principio e ir probando diferentes combinaciones hasta encontrar la mejor.","La misma",,"4,3,5,1,2","5","6","120","0","2","0,0,0,0,1","1.6","5","6","4","1","3","19","1",NULL,NULL,"3","3,4,1,4,0,3,0,4,1,4","19.6"
"334","4","1","2","147.156.150.17","l23","1559049180",NULL,"30","100","7","26","0",,"4","203","0","41","0","6","50","50","251,196,354,191,210,356","60","360",NULL,"400","110","50","5","7","2","10","40","1166.6","Buscar la estabilidad sin tomar muchas decisiones","Algunos la misma que yo, otros pareciese que de forma aleatoria y impulsiva",,"4,2,5,1,3","4","6","49.8","20.4","2","0,0,0,1,1","1.6","5","1","4","1","47","30","33",NULL,NULL,"2","3,3,1,1,0,3,1,2,2,3","18.5"
"349","4","1","3","147.156.150.9","l13","1559049249",NULL,"30","100","7","21","1","Comunicación","1","203","0","41","0","6","50","50","251,196,354,191,210,356","60","360",NULL,"400","110","50","5","3","2","10","40","646.6","Ha ido cambiando, al principio no tomaba parte activa en ningún momento y dejaba que el resto hiciera, manteniendo dos conexiones todo el rato. En la siguientes intentaba tener muchas conexiones al principio para luego poder elegir las que más me interesaban.","Supongo que ha sido diversa, desde un hazte con todas hasta con mantener dos conexiones durante toda la ronda.","Todo perfecto.","4,3,2,1,5","3","6","30","30","2","0,0,0,1,1","1.6","5","5","4","1","3","35","18",NULL,NULL,"4","3,4,3,4,2,2,1,3,1,3","13.5"
"350","4","1","4","147.156.150.10","l14","1559049250",NULL,"30","100","7","20","1","PSICOLOGÍA","4","203","0","41","1","6","50","50","251,196,354,191,210,356","60","360",NULL,"400","110","50","5","6","2","10","40","1006.6","La capacidad espacial.","Escoger lo que menos conexiones tenían.",,"5,2,1,4,3","2","6","14.8","100.8","2","0,0,0,0,1","2","5","5","4","1","3","35","18",NULL,NULL,"4","0,4,0,2,1,3,0,2,1,2","16.9"
"325","4","1","5","147.156.150.30","l46","1559049143",NULL,"30","100","7","18","1",,"3","176","0","28","1","6","50","50","251,196,354,191,210,356","60","360",NULL,"400","110","50","5","6","2","10","40","1356.9","Conectarme y desconectarme muchas veces de acuerdo con lo que rentaba más.","Conectarse a lo máximo posible.",,"3,1,4,5,2","1","6","32","24","4","0,0,1,1,1","3.85","5","5","1","1","1","35","18",NULL,NULL,"4","3,4,0,1,0,3,0,4,3,3","22.3"
"337","4","1","6","147.156.150.19","l25","1559049192",NULL,"30","100","7","19","0","Ciencia Social","4","203","0","41","0","6","50","50","251,196,354,191,210,356","60","360",NULL,"400","110","50","5","9","2","10","40","1163.7","Mantener un entramado de redes que no fuera arriegado","Estrategias de más arriesgadas a menos arriesgadas",,"2,3,4,1,5","2","6","20","80","5","0,0,0,0,1","3.85","5","5","4","0","1","35","16",NULL,NULL,"3","0,4,2,3,0,0,1,3,1,3","20.2"
"306","4","1","7","147.156.150.48","l63","1559049074",NULL,"30","100","7","20","1",,"4","203","0","42","0","6","50","50","251,196,354,191,210,356","60","360",NULL,"400","110","50","5","4","2","10","40","1055.7","Mantener siempre un beneficio alto con un numero reducido de conexiones.","La misma.",,"2,1,5,4,3","5","6","120","0","4","0,0,0,1,1","3.85","5","5","4","1","3","35","18",NULL,NULL,"4","1,4,3,1,0,2,0,4,4,3","21.3"
"310","4","1","8","147.156.150.59","l76","1559049089",NULL,"30","100","7","19","1","Diseño","4","203","0","41","1","6","50","50","251,196,354,191,210,356","60","360",NULL,"400","110","50","5","1","2","10","40","1174.3","Mi estrategia fue ir creando enlaces de forma aleatoria y modificarlos segun los puntos que recibia. Ir probando ha sido mi estrategia.","Crear enlaces de forma aleatoria y modificarlos segun los puntos recibido.",,"1,4,5,2,3","5","6","120","0","5","0,0,0,1,1","3.85","5","1","1","0","34","35","18",NULL,NULL,"1","3,4,3,4,0,3,2,1,1,3","22.1"
"342","4","1","9","147.156.150.28","l28","1559049216",NULL,"30","100","7","22","0","Economía","4","203","0","41","0","6","50","50","251,196,354,191,210,356","60","360",NULL,"400","110","50","5","8","2","10","40","1079.3","Paciencia","Iniciativa",,"2,3,1,5,4","1","6","23.2","50.4","4","0,0,1,1,1","3.85","5","5","4","1","3","34","42",NULL,NULL,"3","3,3,2,2,1,2,2,2,2,4","19.6"
"344","4","1","10","147.156.150.14","l18","1559049233",NULL,"30","100","7","22","1","economia","4","203","0","41","1","6","50","50","251,196,354,191,210,356","60","360",NULL,"400","110","50","5","2","2","10","40","1166.6","menor coste","muchas conexiones",,"1,2,4,3,5","3","6","30","30","5","0,0,0,0,1","0.1","5","6","4","4","3","35","18",NULL,NULL,"2","3,4,1,4,1,1,3,4,1,4","16.6"
"348","4","1","11","147.156.150.11","l15","1559049245",NULL,"30","100","7","21","1",,"1","203","0","41","4","6","50","50","251,196,354,191,210,356","60","360",NULL,"400","110","50","5","4","2","10","40","1284","Conectarme con dos personas y mantenerme.","No lo sé.",,"5,1,3,4,2","3","6","60","0","1","0,0,0,0,1","1.6","5","5","4","1","34","19","16",NULL,NULL,"4","2,3,3,1,2,2,1,3,3,3","19.9"
