"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","comp_7","comp_8","correct_comp","B5","final_pay"
"696","7","1","16","147.156.150.9","l13","1562580204",NULL,"30","100","7","20","1","Matemáticas","4","203","0","41","1","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","7","2","10","80","1675","Agruparme como pareja a los que más beneficio me daban y desvincularme de los que me restaban","Intentar ser el nodo de conexión",,"3,1,4,2,5","4","6","40.2","39.6","2","0,0,0,0,1","1.6","5","4","2","1","1","68","37",NULL,NULL,"3","2,4,2,1,2,3,1,3,4,3","15.5"
"654","7","1","17","147.156.150.52","l74","1562580154",NULL,"30","100","7","22","1",,"4","203","0","41","0","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","2","2","10","80","1584.4","Tratar de hacer pocas conexiones pero buenas","no lo se, habrá quien haya hecho muchas conexiones para probar suerte y otro como yo.",,"3,2,4,5,1","5","6","30","30","3","0,0,0,0,1","2","5","5","6","1","3","99","91",NULL,NULL,"3","3,3,4,3,1,1,3,1,4,3","15.2"
"618","7","1","18","150.128.49.2","c16","1562579944",NULL,"30","100","7","21","0","Economía","4","203","0","41","1","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","5","2","10","80","2314.9","Intentar mantener un nivel constante de beneficios con pocas conexiones, normalmente 2 y los beneficios rondaban los 300.","Algunos usaban la misma, otros se arriesgaban más con muchas conexiones y fluctuaciones más grandes",,"3,4,2,1,5","5","6","120","0","1","0,0,1,1,1","1.6","5","6","6","0","3","68","11",NULL,NULL,"1","3,4,2,4,0,1,0,3,2,2","19.8"
"605","7","1","19","150.128.49.2","c03","1562579743",NULL,"30","100","7","22","1",,"4","148","4","0","8","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","6","2","10","80","1904.4","buena","normal",,"2,3,1,4,5","5","6","99.6","6.8","2","1,1,1,1,1","3.85","5","5","6","5","28","42","1",NULL,NULL,"2","2,4,1,3,2,3,0,3,0,3","19.8"
"669","7","1","20","147.156.150.26","l41","1562580172",NULL,"30","100","7","47","1",,"1","203","2","41","4","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","2","2","10","80","1424.5","intentar conectarme con el triangulo","puede ser variable
",,"5,4,2,3,1","4","6","60","0","5","0,1,1,1,1","3.85","5","5","1","1","72","36","37",NULL,NULL,"3","3,4,0,3,2,4,0,4,1,3","16.9"
"660","7","1","21","147.156.150.44","l64","1562580158",NULL,"30","100","7","18","1","bach de ciencias sociales","1","203","0","41","1","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","3","2","10","80","2240.4","máximo e dos conexiones","muchas conexiones",,"2,1,3,4,5","4","6","42","36","1","0,0,1,1,1","1.6","5","5","6","1","3","69","37",NULL,NULL,"4","1,4,2,3,1,4,1,4,2,1","18.1"
"614","7","1","22","150.128.49.2","c10","1562579790",NULL,"30","100","7","21","0","economicas","4","203","0","41","1","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","5","2","10","80","2224.4","Realizar dos conexiones.","Practicamente la misma ya que tenian pocas conexiones y unos beneficios similares quitando un par que obtenian perdidas",,"3,4,1,2,5","2","6","40","0","2","0,0,0,0,1","2","5","5","6","1","3","68","37",NULL,NULL,"4","2,3,3,3,3,4,1,2,0,2","18.4"
"655","7","1","23","147.156.150.66","l85","1562580156",NULL,"30","100","7","19","0","Ingeniería","4","203","0","41","12","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","7","2","10","80","2412.1","Buscar los 300 puntos con 2 enlaces, y a partir de ahí, ir probando.","Muchos buscaban los 300 como yo, pero muchos más únicamente iban probando, a mi parecer.",,"3,1,5,4,2","4","6","39.6","40.8","4","0,0,0,0,0","1.6","5","5","6","1","1","36","1",NULL,NULL,"4","3,4,3,3,2,3,4,3,2,3","18.8"
"656","7","1","24","147.156.150.53","l75","1562580156",NULL,"30","100","7","20","1","ADE- Derecho","4","203","0","41","4","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","5","2","10","80","2237.6","intentar no sumar mucho coste de enlace y acercarme a las zonas que me proporcionaban más puntos","crear muchos enlaces en el primer minuto",,"1,5,4,2,3","3","6","60","0","1","0,0,1,1,1","2","5","6","6","1","3","69","37",NULL,NULL,"3","1,4,2,1,0,4,0,4,2,4","18.7"
"678","7","1","25","147.156.150.27","l45","1562580180",NULL,"30","100","7","18","0","ingenieria de sistemas de telcomunicacion","4","203","0","41","4","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","9","2","10","80","2159.9","manterme con 300 puntos mas o menos","Unirse con muchos participantes o con muy pocos","Ha estado guay","1,4,2,3,5","5","6","120","0","4","0,0,1,1,1","3.85","5","5","6","1","3","36","37",NULL,NULL,"4","1,3,0,4,2,3,0,4,3,3","21.6"
"628","7","1","26","150.128.49.2","c39","1562579996",NULL,"30","100","7","25","1","Administración de empresas","1","203","2","41","1","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","9","2","10","80","2149.8","Tener resultados positivos siempre jugando con las conexiones.","Conseguir el mayor numero de conexiones y que les saliera rentable","El experimento es un poco difícil de entender ya que es algo nuevo.","5,3,4,2,1","1","6","30","30","3","0,0,0,0,1","1.6","5","5","6","4","3","69","72",NULL,NULL,"2","0,4,2,3,0,3,1,4,3,4","17.2"
"613","7","1","27","150.128.49.2","c09","1562579785",NULL,"30","100","7","21","0",,"4","203","0","41","4","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","1","2","10","80","2384.4","Ir a lo seguro","Igual que yo",,"2,3,5,4,1","1","6","30","30","1","0,0,0,0,0","1.6","5","6","6","2","42","35","37",NULL,NULL,"2","0,1,0,2,0,0,3,0,2,0","18.3"
"682","7","1","28","147.156.150.29","l35","1562580184",NULL,"30","100","7","18","1","Magisterio Infantil","4","203","0","41","1","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","9","2","10","80","1356.2","Al principio probaba aleatoriamente varios números y  luego iba añadiendo más o eliminando enlaces dependiendo de cómo veía que iban subiendo los puntos o bajando","Creo que iban creando los enlaces que pensaban que les iba a dar más puntos y después eliminaban los que les perjudicaban en su puntuación.",,"2,5,3,4,1","3","6","39.6","20.4","1","0,0,0,1,1","1.6","5","5","2","2","3","69","37",NULL,NULL,"2","4,4,2,1,1,1,0,4,2,3","13.8"
"681","7","1","29","147.156.150.30","l46","1562580182",NULL,"30","100","7","20","1",,"4","203","0","41","4","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","7","2","10","80","2299","No unirme a aquéllos que tenían menos puntos y unirme con únicamente dos personas","unirse a cualquiera, porque no entendían el funcionamiento",,"3,1,5,2,4","5","6","87.6","10.8","3","0,0,0,1,1","1.6","5","5","6","1","91","84","12",NULL,NULL,"3","3,2,0,4,0,3,1,3,4,4","19.2"
"631","7","1","30","150.128.49.2","c28","1562580007",NULL,"30","100","7","21","1",,"1","180","0","41","0","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","7","2","10","80","2154.4","Realizar las conexiones necesarias para intentar ser crítico y obtener el máximo de puntuación.","Seguramente haya sido la misma estrategia o la de intentar tener cuantas más conexiones.",,"1,3,4,5,2","3","6","30","30","1","0,0,0,1,1","2","5","6","6","0","3","68","37",NULL,NULL,"2","4,4,4,1,0,1,0,2,4,4","17.6"
"683","7","1","31","147.156.150.38","l47","1562580184",NULL,"30","100","7","18","1",,"1","203","0","41","4","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","3","2","10","80","1904.4","intentar unirme a las personas que estaban más cercanas a mí viendo que conexión generaba mayor cantidad de puntos ","La misma que la mía",,"4,2,5,1,3","5","6","30","30","1","0,0,1,1,1","1.6","5","6","6","1","3","68","1",NULL,NULL,"2","4,4,3,3,2,2,1,1,3,3","16.1"
"694","7","1","32","147.156.150.7","l11","1562580200",NULL,"30","100","7","20","1",,"3","203","0","41","1","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","2","2","10","80","2522.6","Apenas proponer enlaces.","Ni idea.","Un experimento un tanto lioso.","1,4,2,5,3","4","6","60","0","4","0,0,0,0,1","1.6","5","5","6","0","3","68","37",NULL,NULL,"3","3,4,0,1,0,3,0,3,3,3","19.6"
"677","7","1","33","147.156.150.33","l32","1562580178",NULL,"30","100","7","18","0",,"1","203","0","41","3","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","4","2","10","80","2074.7","Esperar las decisiones que tomaban los demás participantes, sin anticiparme.","Intentar conseguir el mayor número de enlaces, sin pensar en el beneficio de los demás.",,"5,3,4,1,2","2","6","34.8","20.8","5","0,0,0,0,1","3.85","5","5","4","0","88","99","62",NULL,NULL,"1","2,3,3,4,2,4,1,3,0,4","19.2"
"665","7","1","34","147.156.150.54","l67","1562580165",NULL,"30","100","7","21","1",,"4","203","0","41","0","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","1","2","10","80","1117.8","al principio juntarme con los maximos que podia, más tarde mantenerme","conseguir los maximos puntos juntandose con los demas ",,"2,5,4,3,1","1","6","30","30","2","0,0,0,0,1","2","5","6","6","2","3","68","37",NULL,NULL,"2","3,3,4,2,1,3,1,3,1,3","12.9"
"639","7","1","35","147.156.150.3","c44","1562580038",NULL,"30","100","7","19","0","Humanístico","4","203","0","41","0","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","4","2","10","80","2384.4","Mi estrategia utilizada en el experimento fue hacer de enlace entre nodos que se enlazaban con muchos nodos ya que así el numero de puntos subía","Creo que la estrategia de muchos de los otros participantes era usar el azar y unirse a aquellos nodos que los beneficiaran ",,"4,2,5,3,1","3","6","60","0","3","0,0,1,1,1","3.85","5","4","6","1","3","35","37",NULL,NULL,"3","3,3,2,2,4,4,1,2,3,3","21.3"
"640","7","1","36","150.128.49.2","c38","1562580054",NULL,"30","100","7","27","1","Empresa","5","203","0","41","0","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","6","2","10","80","1904.4","Crear el máximo posible de conexiones directas durante el inicio de cada ronda.","Conectar con grupos que ya tuvieran muchas conexiones creadas con otros.","Reproducir el vídeo inicial explicativo en cada ordenador, para que se pueda ver con claridad.","4,2,1,3,5","3","6","50.4","9.6","2","0,0,0,1,1","1.6","5","5","6","1","3","68","37",NULL,NULL,"4","4,4,1,3,2,1,0,3,3,2","16.8"
