"id","id_subj","nb_question","nb_item","choice"
"1","875","1","3","50"
"2","878","1","4","0"
"3","856","1","5","0"
"4","885","1","4","33"
"5","875","2","2","56"
"6","878","2","5","0"
"7","868","1","2","13"
"8","843","1","3","41"
"9","864","1","4","33"
"10","833","1","1","100"
"11","894","1","1","0"
"12","898","1","3","50"
"13","868","2","3","33"
"14","878","3","2","24"
"15","875","3","5","42"
"16","851","1","3","50"
"17","890","1","5","75"
"18","878","4","1","0"
"19","881","1","5","75"
"20","894","2","4","16"
"21","875","4","4","53"
"22","885","2","1","25"
"23","843","2","2","20"
"24","868","3","5","33"
"25","875","5","1","55"
"26","878","5","3","0"
"27","833","2","4","100"
"28","857","1","1","25"
"29","856","2","2","20"
"30","825","1","3","0"
"31","825","2","4","0"
"32","825","3","5","0"
"33","864","2","5","15"
"34","885","3","2","20"
"35","898","2","4","17"
"36","843","3","4","25"
"37","894","3","2","37"
"38","825","4","1","0"
"39","839","1","1","40"
"40","881","2","3","16"
"41","896","1","1","17"
"42","868","4","4","16"
"43","855","1","4","0"
"44","825","5","2","0"
"45","894","4","3","0"
"46","856","3","1","25"
"47","833","3","2","100"
"48","885","4","3","50"
"49","857","2","5","75"
"50","856","4","4","33"
"51","894","5","5","0"
"52","851","2","1","20"
"53","833","4","3","100"
"54","868","5","1","13"
"55","886","1","2","20"
"56","896","2","4","17"
"57","855","2","1","0"
"58","884","1","2","31"
"59","890","2","1","25"
"60","851","3","5","48"
"61","823","1","4","33"
"62","843","4","1","23"
"63","859","1","5","75"
"64","898","3","2","19"
"65","833","5","5","0"
"66","851","4","2","62"
"67","883","1","3","50"
"68","855","3","5","0"
"69","864","3","1","8"
"70","886","2","5","0"
"71","840","1","3","34"
"72","885","5","5","75"
"73","851","5","4","9"
"74","803","1","5","75"
"75","813","1","5","9"
"76","884","2","5","17"
"77","882","1","1","25"
"78","867","1","5","50"
"79","856","5","3","0"
"80","896","3","5","65"
"81","855","4","3","17"
"82","823","2","3","49"
"83","843","5","5","62"
"84","844","1","5","17"
"85","857","3","4","33"
"86","855","5","2","0"
"87","890","3","2","20"
"88","828","1","4","33"
"89","884","3","3","16"
"90","829","1","5","0"
"91","864","4","3","25"
"92","819","1","5","0"
"93","896","4","3","33"
"94","898","4","1","19"
"95","831","1","3","8"
"96","890","4","4","33"
"97","859","2","1","25"
"98","806","1","3","50"
"99","813","2","2","3"
"100","882","2","5","75"
"101","886","3","3","34"
"102","838","1","3","16"
"103","831","2","5","46"
"104","896","5","2","29"
"105","829","2","3","0"
"106","823","3","5","0"
"107","890","5","3","50"
"108","830","1","2","20"
"109","859","3","3","50"
"110","803","2","3","50"
"111","840","2","4","25"
"112","886","4","4","31"
"113","813","3","4","9"
"114","884","4","1","42"
"115","859","4","4","60"
"116","844","2","1","25"
"117","867","2","3","50"
"118","892","1","4","33"
"119","828","2","2","20"
"120","881","3","1","83"
"121","884","5","4","17"
"122","852","1","3","50"
"123","864","5","2","4"
"124","829","3","1","0"
"125","882","3","3","50"
"126","898","5","5","58"
"127","813","4","1","0"
"128","808","1","4","34"
"129","820","1","2","16"
"130","821","1","1","0"
"131","883","2","2","100"
"132","819","2","2","0"
"133","846","1","2","20"
"134","813","5","3","0"
"135","900","1","4","50"
"136","829","4","4","0"
"137","830","2","4","33"
"138","839","2","2","86"
"139","821","2","5","0"
"140","844","3","3","50"
"141","857","4","2","20"
"142","831","3","2","3"
"143","828","3","5","75"
"144","859","5","2","20"
"145","880","1","1","26"
"146","829","5","2","0"
"147","823","4","1","27"
"148","821","3","3","0"
"149","867","3","1","25"
"150","801","1","5","24"
"151","882","4","4","33"
"152","803","3","2","20"
"153","839","3","4","43"
"154","828","4","3","50"
"155","821","4","2","0"
"156","819","3","1","0"
"157","883","3","5","0"
"158","840","3","2","0"
"159","830","3","5","0"
"160","886","5","1","25"
"161","857","5","3","50"
"162","814","1","3","0"
"163","850","1","4","33"
"164","882","5","2","20"
"165","838","2","1","13"
"166","839","4","3","100"
"167","828","5","1","25"
"168","821","5","4","0"
"169","867","4","4","33"
"170","819","4","4","0"
"171","845","1","2","0"
"172","844","4","2","20"
"173","881","4","4","16"
"174","831","4","1","23"
"175","852","2","5","75"
"176","830","4","3","50"
"177","823","5","2","37"
"178","850","2","3","50"
"179","819","5","3","0"
"180","839","5","5","100"
"181","867","5","2","20"
"182","806","2","1","25"
"183","831","5","4","37"
"184","840","4","1","4"
"185","814","2","1","0"
"186","822","1","1","0"
"187","803","4","1","25"
"188","860","1","5","75"
"189","820","2","1","25"
"190","801","2","3","34"
"191","838","3","5","17"
"192","850","3","1","25"
"193","844","5","4","33"
"194","880","2","2","21"
"195","883","4","1","100"
"196","830","5","1","25"
"197","814","3","2","0"
"198","881","5","2","94"
"199","892","2","1","25"
"200","822","2","5","0"
"201","850","4","2","20"
"202","840","5","5","25"
"203","824","1","3","0"
"204","826","1","5","0"
"205","845","2","3","0"
"206","883","5","4","100"
"207","807","1","2","31"
"208","822","3","4","0"
"209","846","2","1","25"
"210","808","2","5","25"
"211","838","4","2","12"
"212","801","3","1","50"
"213","850","5","5","75"
"214","806","3","2","19"
"215","860","2","1","25"
"216","822","4","3","0"
"217","814","4","5","0"
"218","820","3","3","52"
"219","846","3","3","50"
"220","852","3","2","20"
"221","838","5","4","17"
"222","826","2","4","0"
"223","880","3","5","74"
"224","822","5","2","0"
"225","841","1","1","42"
"226","808","3","1","26"
"227","865","1","2","37"
"228","803","5","4","33"
"229","826","3","2","0"
"230","801","4","2","51"
"231","874","1","2","0"
"232","826","4","3","0"
"233","806","4","4","33"
"234","852","4","4","33"
"235","807","2","4","16"
"236","820","4","4","33"
"237","841","2","5","17"
"238","892","3","2","17"
"239","845","3","5","39"
"240","808","4","3","52"
"241","877","1","1","25"
"242","836","1","1","52"
"243","860","3","3","50"
"244","880","4","3","50"
"245","824","2","5","0"
"246","845","4","1","0"
"247","849","1","2","0"
"248","801","5","4","50"
"249","899","1","3","36"
"250","824","3","4","0"
"251","846","4","5","75"
"252","865","2","3","50"
"253","845","5","4","0"
"254","811","1","2","100"
"255","824","4","1","0"
"256","807","3","1","42"
"257","841","3","3","49"
"258","814","5","4","100"
"259","806","5","5","75"
"260","808","5","2","31"
"261","826","5","1","0"
"262","849","2","4","0"
"263","815","1","3","41"
"264","820","5","5","73"
"265","860","4","2","20"
"266","888","1","4","33"
"267","846","5","4","33"
"268","880","5","4","34"
"269","865","3","1","0"
"270","852","5","1","25"
"271","893","1","4","33"
"272","842","1","2","1"
"273","811","2","4","0"
"274","877","2","5","17"
"275","836","2","2","28"
"276","824","5","2","0"
"277","874","2","5","17"
"278","899","2","5","48"
"279","849","3","1","100"
"280","818","1","1","26"
"281","849","4","5","0"
"282","811","3","5","0"
"283","865","4","4","33"
"284","892","4","3","49"
"285","815","2","2","25"
"286","849","5","3","0"
"287","841","4","4","17"
"288","900","2","5","50"
"289","816","1","4","33"
"290","893","2","3","50"
"291","877","3","3","50"
"292","899","3","4","28"
"293","860","5","4","16"
"294","837","1","2","0"
"295","888","2","2","14"
"296","874","3","4","16"
"297","836","3","5","34"
"298","835","1","1","100"
"299","809","1","5","75"
"300","841","5","2","63"
"301","807","4","5","58"
"302","802","1","4","33"
"303","865","5","5","25"
"304","899","4","2","12"
"305","818","2","5","76"
"306","887","1","1","0"
"307","815","3","1","25"
"308","837","2","3","0"
"309","877","4","2","20"
"310","807","5","3","16"
"311","900","3","2","20"
"312","842","2","3","2"
"313","809","2","4","33"
"314","887","2","2","0"
"315","899","5","1","16"
"316","837","3","1","0"
"317","810","1","2","26"
"318","888","3","1","25"
"319","887","3","5","0"
"320","834","1","4","16"
"321","874","4","1","25"
"322","837","4","5","0"
"323","900","4","3","50"
"324","887","4","4","0"
"325","836","4","4","50"
"326","887","5","3","0"
"327","809","3","2","20"
"328","810","2","3","33"
"329","837","5","4","0"
"330","858","1","3","23"
"331","893","3","2","20"
"332","877","5","4","17"
"333","869","1","3","0"
"334","888","4","3","33"
"335","811","4","1","0"
"336","892","5","5","75"
"337","809","4","3","50"
"338","842","3","5","2"
"339","874","5","3","16"
"340","815","4","5","58"
"341","900","5","1","25"
"342","811","5","3","0"
"343","853","1","4","100"
"344","818","3","4","33"
"345","869","2","4","0"
"346","870","1","5","75"
"347","815","5","4","33"
"348","848","1","2","100"
"349","871","1","5","66"
"350","816","2","5","17"
"351","836","5","3","50"
"352","810","3","5","50"
"353","842","4","4","1"
"354","809","5","1","25"
"355","861","1","2","63"
"356","853","2","1","100"
"357","893","4","5","75"
"358","888","5","5","71"
"359","870","2","3","50"
"360","834","2","3","50"
"361","895","1","4","25"
"362","853","3","3","0"
"363","842","5","1","1"
"364","804","1","2","20"
"365","818","4","3","52"
"366","871","2","1","19"
"367","858","2","2","0"
"368","853","4","5","0"
"369","870","3","4","33"
"370","847","1","5","42"
"371","810","4","4","42"
"372","853","5","2","100"
"373","816","3","2","49"
"374","870","4","2","20"
"375","802","2","5","75"
"376","871","3","3","50"
"377","869","3","2","100"
"378","816","4","3","17"
"379","876","1","4","33"
"380","870","5","1","25"
"381","866","1","3","34"
"382","893","5","1","25"
"383","848","2","5","0"
"384","872","1","3","5"
"385","858","3","5","43"
"386","869","4","1","0"
"387","895","2","3","17"
"388","861","2","5","39"
"389","810","5","1","43"
"390","804","2","5","50"
"391","869","5","5","0"
"392","816","5","1","24"
"393","818","5","2","20"
"394","847","2","1","46"
"395","848","3","4","100"
"396","802","3","1","25"
"397","872","2","5","0"
"398","876","2","1","25"
"399","834","3","2","38"
"400","872","3","2","0"
"401","895","3","2","13"
"402","872","4","4","0"
"403","848","4","3","50"
"404","861","3","4","17"
"405","872","5","1","0"
"406","804","3","4","33"
"407","858","4","1","25"
"408","876","3","5","75"
"409","835","2","2","19"
"410","834","4","5","25"
"411","871","4","4","28"
"412","802","4","2","20"
"413","847","3","4","18"
"414","848","5","1","100"
"415","897","1","2","6"
"416","802","5","3","0"
"417","895","4","5","17"
"418","876","4","2","20"
"419","861","4","1","42"
"420","834","5","1","27"
"421","858","5","4","12"
"422","804","4","1","25"
"423","873","1","1","24"
"424","871","5","2","20"
"425","895","5","1","24"
"426","897","2","3","10"
"427","876","5","3","50"
"428","889","1","4","17"
"429","847","4","2","100"
"430","804","5","3","0"
"431","866","2","5","17"
"432","835","3","3","0"
"433","817","1","4","14"
"434","861","5","3","16"
"435","897","3","5","24"
"436","847","5","3","50"
"437","866","3","4","17"
"438","897","4","4","5"
"439","873","2","2","26"
"440","863","1","2","50"
"441","889","2","2","25"
"442","897","5","1","13"
"443","817","2","3","16"
"444","873","3","3","0"
"445","873","4","5","25"
"446","866","4","1","42"
"447","889","3","1","24"
"448","817","3","5","31"
"449","891","1","5","75"
"450","873","5","4","50"
"451","889","4","3","33"
"452","835","4","4","42"
"453","891","2","1","25"
"454","866","5","2","14"
"455","889","5","5","25"
"456","891","3","3","50"
"457","863","2","5","50"
"458","891","4","4","33"
"459","817","4","1","9"
"460","805","1","1","25"
"461","891","5","2","20"
"462","835","5","5","17"
"463","863","3","3","50"
"464","805","2","5","30"
"465","817","5","2","8"
"466","854","1","5","17"
"467","805","3","2","23"
"468","854","2","1","75"
"469","863","4","1","50"
"470","805","4","3","12"
"471","854","3","3","50"
"472","805","5","4","4"
"473","832","1","1","17"
"474","862","1","5","63"
"475","854","4","2","20"
"476","827","1","5","17"
"477","863","5","4","17"
"478","854","5","4","33"
"479","832","2","2","9"
"480","812","1","1","25"
"481","827","2","1","3"
"482","832","3","4","17"
"483","827","3","2","3"
"484","879","1","1","9"
"485","827","4","4","6"
"486","812","2","4","33"
"487","832","4","5","50"
"488","827","5","3","10"
"489","832","5","3","50"
"490","879","2","2","38"
"491","879","3","4","17"
"492","862","2","2","16"
"493","812","3","3","33"
"494","879","4","5","53"
"495","879","5","3","45"
"496","812","4","5","37"
"497","862","3","3","29"
"498","812","5","2","20"
"499","862","4","4","29"
"500","862","5","1","18"
