"id","id_subj","time","session","id_grp","grp","round","period","links"
"1","111","4","2","23","1","1","1","[27]"
"2","111","5","2","23","1","1","1","[27,17]"
"3","111","6","2","23","1","1","1","[27,17,38]"
"4","111","7","2","23","1","1","1","[27,17,38,49]"
"5","110","8","2","18","1","1","1","[17]"
"6","108","8","2","17","1","1","1","[32]"
"7","111","8","2","23","1","1","1","[27,17,38,49,36]"
"8","143","8","2","16","1","1","1","[1]"
"9","105","9","2","47","1","1","1","[49]"
"10","107","9","2","48","1","1","1","[31]"
"11","143","9","2","16","1","1","1","[]"
"12","111","9","2","23","1","1","1","[27,17,38,49,36,10]"
"13","106","10","2","27","1","1","1","[23]"
"14","145","10","2","14","1","1","1","[15]"
"15","110","10","2","18","1","1","1","[17,27]"
"16","143","10","2","16","1","1","1","[1]"
"17","146","10","2","25","1","1","1","[18]"
"18","103","10","2","15","1","1","1","[33]"
"19","111","10","2","23","1","1","1","[27,17,38,49,36,10,6]"
"20","113","10","2","39","1","1","1","[26]"
"21","130","10","2","11","1","1","1","[27]"
"22","126","11","2","33","1","1","1","[28]"
"23","109","11","2","13","1","1","1","[1]"
"24","107","11","2","48","1","1","1","[31,35]"
"25","140","11","2","7","1","1","1","[18]"
"26","105","11","2","47","1","1","1","[49,9]"
"27","145","11","2","14","1","1","1","[15,32]"
"28","125","11","2","38","1","1","1","[26]"
"29","135","12","2","46","1","1","1","[26]"
"30","128","12","2","24","1","1","1","[1]"
"31","146","12","2","25","1","1","1","[18,29]"
"32","102","12","2","37","1","1","1","[14]"
"33","101","12","2","34","1","1","1","[27]"
"34","133","12","2","32","1","1","1","[17]"
"35","110","12","2","18","1","1","1","[17,27,26]"
"36","122","12","2","40","1","1","1","[26]"
"37","107","12","2","48","1","1","1","[31,35,27]"
"38","125","13","2","38","1","1","1","[]"
"39","145","13","2","14","1","1","1","[15,32,1]"
"40","140","13","2","7","1","1","1","[18,27]"
"41","124","13","2","19","1","1","1","[26]"
"42","126","13","2","33","1","1","1","[]"
"43","135","13","2","46","1","1","1","[26,1]"
"44","116","13","2","3","1","1","1","[18]"
"45","128","13","2","24","1","1","1","[1,17]"
"46","106","13","2","27","1","1","1","[23,11]"
"47","120","13","2","1","1","1","1","[13]"
"48","150","13","2","9","1","1","1","[32]"
"49","142","13","2","36","1","1","1","[10]"
"50","122","13","2","40","1","1","1","[]"
"51","121","13","2","6","1","1","1","[38]"
"52","143","13","2","16","1","1","1","[1,14]"
"53","107","13","2","48","1","1","1","[31,35,27,24]"
"54","127","13","2","2","1","1","1","[32]"
"55","147","14","2","21","1","1","1","[38]"
"56","146","14","2","25","1","1","1","[18,29,24]"
"57","112","14","2","26","1","1","1","[17]"
"58","130","14","2","11","1","1","1","[27,38]"
"59","115","14","2","41","1","1","1","[14]"
"60","119","14","2","45","1","1","1","[25]"
