"id","id_subj","nb_question","nb_item","choice"
"1","130","1","2","12"
"2","130","2","3","34"
"3","130","3","4","27"
"4","130","4","1","11"
"5","130","5","5","24"
"6","148","1","1","0"
"7","125","1","3","33"
"8","120","1","1","32"
"9","120","2","5","56"
"10","123","1","2","19"
"11","148","2","5","0"
"12","120","3","4","31"
"13","125","2","5","42"
"14","138","1","4","38"
"15","127","1","3","36"
"16","145","1","5","0"
"17","123","2","1","11"
"18","148","3","3","0"
"19","148","4","2","0"
"20","120","4","3","22"
"21","125","3","2","31"
"22","145","2","4","0"
"23","123","3","5","71"
"24","108","1","2","0"
"25","148","5","4","0"
"26","121","1","3","0"
"27","108","2","1","0"
"28","120","5","2","25"
"29","145","3","3","0"
"30","123","4","3","44"
"31","121","2","5","0"
"32","138","2","1","25"
"33","108","3","5","0"
"34","121","3","4","0"
"35","145","4","2","0"
"36","121","4","1","0"
"37","108","4","3","0"
"38","121","5","2","0"
"39","127","2","1","17"
"40","142","1","5","42"
"41","108","5","4","0"
"42","145","5","1","0"
"43","146","1","2","20"
"44","125","4","4","16"
"45","123","5","4","40"
"46","115","1","3","25"
"47","128","1","5","45"
"48","101","1","3","50"
"49","127","3","2","12"
"50","138","3","5","82"
"51","142","2","4","16"
"52","146","2","3","50"
"53","115","2","4","17"
"54","125","5","1","26"
"55","142","3","3","25"
"56","147","1","2","20"
"57","138","4","2","34"
"58","129","1","3","50"
"59","127","4","4","16"
"60","128","2","3","49"
"61","146","3","4","35"
"62","138","5","3","50"
"63","143","1","5","49"
"64","146","4","5","75"
"65","144","1","3","50"
"66","117","1","3","37"
"67","146","5","1","26"
"68","118","1","2","20"
"69","142","4","1","17"
"70","115","3","1","25"
"71","131","1","2","0"
"72","128","3","2","20"
"73","127","5","5","46"
"74","129","2","2","37"
"75","101","2","2","100"
"76","114","1","1","22"
"77","103","1","5","48"
"78","131","2","5","0"
"79","142","5","2","6"
"80","147","2","5","75"
"81","131","3","1","0"
"82","101","3","4","100"
"83","110","1","1","12"
"84","143","2","1","25"
"85","131","4","3","0"
"86","101","4","1","100"
"87","118","2","5","75"
"88","150","1","3","50"
"89","128","4","4","0"
"90","101","5","5","0"
"91","149","1","5","74"
"92","131","5","4","0"
"93","115","4","2","37"
"94","114","2","5","0"
"95","117","2","1","20"
"96","144","2","5","75"
"97","137","1","4","17"
"98","119","1","1","14"
"99","115","5","5","0"
"100","136","1","1","19"
"101","129","3","4","34"
"102","147","3","3","50"
"103","103","2","1","48"
"104","128","5","1","10"
"105","102","1","2","51"
"106","143","3","4","32"
"107","110","2","4","17"
"108","144","3","4","33"
"109","116","1","3","42"
"110","114","3","4","51"
"111","124","1","1","20"
"112","143","4","3","50"
"113","147","4","4","33"
"114","129","4","5","72"
"115","137","2","1","21"
"116","117","3","2","16"
"117","124","2","5","0"
"118","144","4","2","20"
"119","119","2","2","19"
"120","110","3","5","58"
"121","150","2","1","20"
"122","118","3","1","83"
"123","102","2","3","50"
"124","147","5","1","25"
"125","103","3","3","46"
"126","149","2","4","0"
"127","144","5","1","25"
"128","143","5","2","20"
"129","114","4","2","5"
"130","136","2","4","67"
"131","116","2","4","25"
"132","118","4","3","16"
"133","114","5","3","0"
"134","129","5","1","26"
"135","119","3","3","41"
"136","150","3","4","32"
"137","136","3","5","0"
"138","102","3","1","24"
"139","119","4","5","29"
"140","112","1","2","0"
"141","124","3","4","16"
"142","110","4","2","0"
"143","137","3","2","12"
"144","116","3","1","15"
"145","119","5","4","31"
"146","118","5","4","50"
"147","136","4","3","17"
"148","110","5","3","22"
"149","102","4","5","73"
"150","124","4","2","21"
"151","150","4","5","73"
"152","112","2","4","0"
"153","117","4","5","38"
"154","103","4","4","67"
"155","102","5","4","30"
"156","124","5","3","4"
"157","112","3","3","0"
"158","137","4","3","21"
"159","112","4","1","0"
"160","149","3","2","0"
"161","112","5","5","0"
"162","150","5","2","21"
"163","117","5","4","24"
"164","103","5","2","51"
"165","116","4","5","62"
"166","136","5","2","47"
"167","137","5","5","36"
"168","149","4","3","50"
"169","105","1","3","42"
"170","116","5","2","11"
"171","113","1","1","24"
"172","126","1","1","25"
"173","122","1","1","21"
"174","111","1","1","25"
"175","106","1","3","0"
"176","126","2","5","50"
"177","149","5","1","49"
"178","106","2","5","0"
"179","111","2","4","0"
"180","106","3","4","0"
"181","113","2","3","16"
"182","111","3","3","50"
"183","126","3","4","33"
"184","140","1","2","16"
"185","122","2","4","25"
"186","106","4","1","0"
"187","126","4","2","0"
"188","113","3","5","76"
"189","126","5","3","0"
"190","111","4","2","0"
"191","111","5","5","0"
"192","106","5","2","19"
"193","105","2","1","71"
"194","135","1","5","48"
"195","139","1","2","20"
"196","122","3","2","13"
