"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","comp_7","comp_8","correct_comp","B5","final_pay"
"140","2","1","1","147.156.150.26","l41","1559031659",NULL,"30","100","7","18","1",,"4","203","4","41","8","6","50","50","277,311,216,284,61,273","60","360",NULL,"400","100","50","5","5","2","10","40","911.8","Hacer el menor numero de enlaces posibles.","Hacer el menor numero de enlaces y tratar de ser un punto de conexión.",,"2,4,3,5,1","3","6","30.6","29.4","3","0,0,0,1,1","2","5","6","4","1","3","35","32",NULL,NULL,"2","1,4,2,2,0,4,0,3,2,3","17.1"
"109","2","1","2","147.156.150.11","l15","1559031536",NULL,"30","100","7","28","1","Género","5","62","2","41","0","6","50","50","277,311,216,284,61,273","60","360",NULL,"400","100","50","5","3","2","10","40","653.5","Generar ganancias para el equipo sin perder yo","Maximizar sus ganancias individuales",,"2,4,1,3,5","5","6","60","20","4","0,0,0,1,1","3.85","5","5","4","1","3","35","40",NULL,NULL,"3","3,4,2,3,0,3,0,3,1,4","17"
"148","2","1","3","147.156.150.30","l46","1559031685",NULL,"30","100","7","19","0",,"4","203","0","41","0","6","50","50","277,311,216,284,61,273","60","360",NULL,"400","100","50","5","6","2","10","40","1025.2","Esperar las conexiones de los demás para aprovecharme de sus enlaces.","Ir probando clickando a distintas parejas a ver cual le daba más puntos.",,"1,5,3,2,4","4","6","60","0","4","0,0,0,1,1","3.85","5","5","4","0","3","35","16",NULL,NULL,"2","3,3,3,3,1,3,0,2,2,3","20.6"
"101","2","1","4","147.156.150.57","l72","1559031503",NULL,"30","100","7","18","0","Ciencia","4","203","0","41","0","6","50","50","277,311,216,284,61,273","60","360",NULL,"400","100","50","5","1","2","10","40","1023.6","Ir a por la media que eran 150 puntos","Supongo que la misma",,"3,2,4,1,5","2","6","0","160","5","0,0,0,0,1","3.85","5","5","4","1","47","17","47",NULL,NULL,"3","3,4,4,2,3,2,1,3,4,4","19.5"
"141","2","1","5","147.156.150.43","l56","1559031663",NULL,"30","100","7","21","0",,"4","203","2","41","0","6","50","50","277,311,216,284,61,273","60","360",NULL,"400","100","50","5","8","2","10","40","1163.6","Tratar de deshacermme de las uniones que no eran rentables.","La misma.",,"4,2,3,5,1","5","6","60","20","2","0,0,0,1,1","2","5","5","4","1","1","19","1",NULL,NULL,"5","1,4,1,1,1,3,1,3,3,3","20.4"
"125","2","1","6","147.156.150.25","l27","1559031597",NULL,"30","100","7","19","1","arquitectura tecnica","4","203","0","41","4","6","50","50","277,311,216,284,61,273","60","360",NULL,"400","100","50","5","4","2","10","40","1133.5","esperar al ultimo minuto y tener pocas conexiones","si",,"3,5,2,4,1","5","6","69.6","16.8","4","0,0,0,0,1","2","5","2","3","1","39","29","18",NULL,NULL,"2","1,4,3,0,0,3,2,3,4,3","20"
"143","2","1","7","147.156.150.46","l57","1559031669",NULL,"30","100","7","21","0","Magisterio","4","203","0","42","1","6","50","50","277,311,216,284,61,273","60","360",NULL,"400","100","50","5","7","2","10","40","1210.2","Intentar buscar las conexiones que más beneficio me dieran, variando de una a otra.","Imagino que fue una  estrategia similar.",,"5,1,4,3,2","5","6","61.2","19.6","5","0,0,0,0,0","1.6","5","5","4","1","3","34","18",NULL,NULL,"4","3,4,4,3,0,2,0,3,2,3","20.5"
"144","2","1","8","147.156.150.37","l43","1559031674",NULL,"30","100","7","18","1",,"1","203","0","41","1","6","50","50","277,311,216,284,61,273","60","360",NULL,"400","100","50","5","8","2","10","40","1090.2","Hacer que las conexiones fueran críticas.","Hacer muchas conexiones.",,"3,5,4,2,1","4","6","40.2","39.6","3","0,0,0,1,1","1.6","5","6","4","0","3","35","18",NULL,NULL,"2","3,3,2,2,0,3,2,3,3,4","18.7"
"119","2","1","9","147.156.150.48","l63","1559031577",NULL,"30","100","7","22","0","Ingeniería Biomédica","4","203","0","41","4","6","50","50","277,311,216,284,61,273","60","360",NULL,"400","100","50","5","9","2","10","40","821.8","Esperar lo máximo posible para barajar las mejores posibilidades asegurando así un beneficio seguro.","Al principio por falta de comprensión pienso que todos se han centrado en hacer el mayor numero posible de conexiones sin ser conscientes del coste de cada enlace. Al final creo que todos hemos tenido la misma estrategia.","A veces el software tiene algún delay, no sé si será problema de desarrollo o del propio PC.","1,2,3,5,4","5","6","85.2","11.6","2","1,1,1,1,1","0.1","5","5","4","1","34","34","18",NULL,NULL,"4","3,4,1,3,0,4,2,4,1,4","15.6"
"108","2","1","10","147.156.150.53","l75","1559031532",NULL,"30","100","7","20","0",,"4","203","0","41","1","6","50","50","277,311,216,284,61,273","60","360",NULL,"400","100","50","5","4","2","10","40","951.9","intentar hacer dos conexiones solamente","algunos lo mismo y otros hacer conexiones por hacer",,"2,1,5,3,4","1","6","40","0","3","0,0,0,1,1","2","5","6","4","1","3","19","41",NULL,NULL,"3","1,3,3,4,3,3,1,3,1,3","17.7"
"113","2","1","11","147.156.150.14","l18","1559031549",NULL,"30","100","7","18","1","social","1","203","0","41","1","6","50","50","277,311,216,284,61,273","60","360",NULL,"400","100","50","5","1","2","10","40","1053.6","ir probando y coger a los que estaban solos","darle a todos e ir quitando, probar también",,"1,3,5,2,4","2","6","27.6","49.6","3","0,0,0,1,1","1.6","5","5","4","2","3","19","40",NULL,NULL,"3","2,4,3,0,4,3,2,3,4,1","18.1"
