"id","id_subj","round","session","period","id_grp","grp","time","time_start","duration","links","payoff"
"75","1803","2","19","1","10","3","1572430205","1572429921","342","[7,3,9,8]","42.7"
"76","1820","2","19","1","9","2","1572430212","1572429921","342","[1,10,5,8]","19.9"
"77","1804","2","19","1","3","4","1572430208","1572429921","342","[9,4,10,6,5]","21"
"78","1817","2","19","1","7","4","1572430211","1572429921","342","[6,2,9,4,8,10,3,5]","13"
"79","1835","2","19","1","6","3","1572430209","1572429921","342","[9,4,5,7]","24"
"80","1823","2","19","1","1","4","1572430199","1572429921","342","[2,4,5,10]","29"
"81","1837","3","19","1","2","4","1572430464","1572430307","291","[6,1,3,9,8]","64.2"
"82","1809","3","19","1","8","4","1572430541","1572430307","291","[3,10,9,7,2,4]","23.2"
"83","1811","3","19","1","10","4","1572430541","1572430307","291","[6,5]","17.9"
"84","1805","3","19","1","2","1","1572430542","1572430307","291","[9,10,3]","21.5"
"85","1838","3","19","1","8","3","1572430511","1572430307","291","[6,4]","38.2"
"86","1840","3","19","1","3","3","1572430540","1572430307","291","[5,10]","24.9"
"87","1802","3","19","1","10","1","1572430539","1572430307","291","[1,8,3,7,2,6,4,9]","13.6"
"88","1806","3","19","1","6","4","1572430538","1572430307","291","[7,10,3,8,2,1]","38.2"
"89","1828","3","19","1","9","2","1572430543","1572430307","291","[3,10,4,5,8,6]","32.7"
"90","1814","3","19","1","4","3","1572430542","1572430307","291","[8,7,6,2,9]","60.2"
"91","1833","3","19","1","5","2","1572430541","1572430307","291","[2,6,9]","32.7"
"92","1808","3","19","1","2","2","1572430424","1572430307","291","[5,7]","18.7"
"93","1827","3","19","1","8","2","1572430543","1572430307","291","[1,6]","15.7"
"94","1818","3","19","1","1","2","1572430539","1572430307","291","[2,8,4,7,6]","15.7"
"95","1813","3","19","1","5","4","1572430543","1572430307","291","[4,6,7,1]","15.2"
"96","1816","3","19","1","9","3","1572430534","1572430307","291","[7,4,10]","16.9"
"97","1826","3","19","1","7","3","1572430543","1572430307","291","[9,1,5]","16.9"
"98","1830","3","19","1","7","2","1572430540","1572430307","291","[10,6,9,5]","17.4"
"99","1822","3","19","1","1","3","1572430543","1572430307","291","[5,7]","24.9"
"100","1803","3","19","1","5","3","1572430498","1572430307","291","[7,10,3,6,8,9,4,2,1]","0.9"
