"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","r","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","correct_comp","B5","final_pay"
"2212","23","1","33","147.156.150.52","l74","1581419003",NULL,"30","100","7","21","1","ade","4","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","8","2","10","80","3","1384","maximizar mis puntos mientras probaba más conexiones","conseguir las máximas conexiones",,"5,1,2,3,4","5","6","80.4","13.2","1","0,0,1,1,1","1.6","5","5","6","1","9","4","9","3","3,4,1,1,2,3,0,3,2,3","14.9"
"2296","23","1","34","150.128.49.2","c45","1581419162",NULL,"30","100","7","18","0","Economia","4","203","0","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","9","2","10","80","3","1157","buscar triangulos alejados entre ellos y buscar los tringulos conectados a circulos con mas conexiones","buscar el triangulo con mas conexiones","va un poco lento","2,3,4,1,5","5","6","120","0","4","0,0,0,0,1","2","5","6","5","2","5","5","1","3","1,3,4,4,0,3,2,2,1,4","15"
"2270","23","1","35","150.128.49.2","c26","1581419101",NULL,"30","100","7","21","0","Psicología","4","203","0","41","0","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","4","2","10","80","3","1513.4","Conectarme con aquel círculo que tuviera más conexiones.","Al final del experimento, la misma que yo. Pero en general, eran muy aleatorios.",,"3,1,2,5,4","3","6","30","30","4","0,0,0,0,1","2","5","6","6","5","5","5","1","4","1,4,2,1,2,3,0,3,3,2","14.9"
"2258","23","1","36","147.156.150.51","l65","1581419079",NULL,"30","100","7","20","0",,"4","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","6","2","10","80","3","1179.1","unirme al que mas puntos tenia ","algunos la misma otros fueron mas listos y lo entendieron bien",,"1,5,3,2,4","5","6","120","0","1","0,0,0,0,0","1.6","5","6","6","3","5","4","8","2","2,4,4,4,3,4,0,1,1,2","14.6"
"2238","23","1","37","147.156.150.20","l37","1581419049",NULL,"30","100","7","21","0","economia","1","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","4","2","10","80","3","1214.3","no tenia, no lo he entendido","clicar cuanto más rapido mejor ","no se entiende el juego ","4,2,1,5,3","3","6","60","0","3","0,1,1,1,1","0.1","5","2","6","1","5","5","1","5","1,2,1,1,1,3,3,1,2,2","12.4"
"2279","23","1","38","150.128.49.2","c15","1581419122",NULL,"30","100","7","21","0","Psicología","4","203","0","41","0","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","6","2","10","80","3","880.5","Conectar los nodos centrales con los de la periferia.","La misma y otros ser los nodos centrales.",,"5,2,4,1,3","3","6","49.8","10.2","4","0,0,1,1,1","3.85","5","5","6","1","5","4","8","4","2,4,3,4,1,2,1,2,0,3","14.4"
"2222","23","1","39","147.156.150.7","l11","1581419024",NULL,"30","100","7","23","0",,"5","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","5","2","10","80","3","435.7","Aliarme con los circulos cercanos que tenian muchas redes de contacto cercanas ","Conectar con el mayor numero de redes posibles ",,"3,5,4,2,1","2","6","40","0","2","0,0,0,0,0","1.6","5","6","6","1","5","4","8","3","3,4,0,1,1,4,0,2,1,3","9.8"
"2221","23","1","40","147.156.150.35","l48","1581419024",NULL,"30","100","7","22","0","Ingeniería","4","203","0","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","4","2","10","80","3","1126.1","Al comienzo hacer muchas proposiciones para intentar ser un nodo central y cuando las pérdidas eran notables deshacer conexiones buscando quedarme con las mínimas que me diesen más puntos","Al principio la mayoría busca hacer conexiones para tener una posición central y al final quedarse solo con el que más conexiones tiene",,"2,4,3,5,1","1","6","29.6","31.2","4","0,0,1,1,1","0.1","5","5","6","1","5","4","1","5","2,3,3,4,1,1,0,3,3,4","11.4"
"2211","23","1","41","147.156.150.24","l44","1581419003",NULL,"30","100","7","19","1",,"1","203","0","41","3","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","7","2","10","80","3","12197.4","Crear conexiones con todo el mundo en los 3 primero minutos, y una vez pedidas todas, moverme cerca de ellos para que me aceptaran","pensar que conexiones les salian mas rentables","me ha parecido muy divertido","3,4,1,2,5","2","6","0","160","3","0,0,0,0,0","2","5","2","6","1","8","5","9","3","3,4,1,1,4,1,1,3,3,4","62.8"
"2236","23","1","42","147.156.150.17","l23","1581419046",NULL,"30","100","7","24","1","Ciencias","4","203","0","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","3","2","10","80","3","1571.9","Unirme al que más puntos tenía","Unirse a muchos de primeras, sino, la misma",,"2,1,4,5,3","5","6","99.6","6.8","3","0,0,0,1,1","1.6","5","5","6","1","5","5","1","6","1,4,3,1,4,4,1,3,3,1","16.4"
"2225","23","1","43","147.156.150.56","l71","1581419030",NULL,"30","100","7","18","1",,"1","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","3","2","10","80","3","1220","Mi estrategia consistía en esperar al nodo que más puntuación obtuviera y finalmente conectarme a él.","En mi opinión, la gran mayoría hacia lo mismo, ya que todos buscamos obtener la mayor puntuación posible sin arriesgar más de la cuenta.",,"3,1,4,2,5","1","6","17.2","68.4","5","0,0,1,1,1","3.85","5","5","6","2","5","5","1","5","1,4,1,1,0,3,0,1,2,3","15.3"
"2294","23","1","44","150.128.49.2","c49","1581419159",NULL,"30","100","7","22","1","Medicina","4","203","0","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","8","2","10","80","3","1446.5","Conectarme con aquellas personas que tuvieran muchas conexiones, y que dichas conexiones no tuvieran muchas conexiones ","No lo sé pero por lo que he visto creo que conectarse con alguien que tuviera muchas conexiones ya que en varios casos se veía claramente como iban casi todos a la misma persona",,"2,4,1,3,5","1","6","30","30","4","0,0,0,0,0","2","5","6","6","0","5","5","1","4","1,4,2,3,2,4,1,3,1,2","14.6"
"2228","23","1","45","147.156.150.9","l13","1581419036",NULL,"30","100","7","22","1","Derecho. Ciencias jurídicas.","4","203","0","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","4","2","10","80","3","802.7","Ir cambiando y combinando nexos hasta descubrir con cuál de ellos me aumentaba o me disminuía la puntuación.Ver si mi puntuación aumentaba al seleccionar otro nexo con puntuación positiva o en caso contrario, aumentaba al seleccionar uno con puntuación negativa.","La inmensa mayoría, bajo mi punto de vista seleccionaba al azar con el transcurso del tiempo.","Bajo mi punto de vista, debería explicarse de forma más pausada las instrucciones así como los ejemplos, ya que se trata de un experimento ""complejo"" de entender.","1,4,2,5,3","1","6","29.6","31.2","3","0,0,0,1,1","1.6","5","5","6","1","5","4","1","5","2,4,0,0,2,3,0,4,4,2","11.4"
"2298","23","1","46","150.128.49.2","c46","1581419168",NULL,"30","100","7","51","0","derecho","3","47","2","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","3","2","10","80","3","944.2","mayor conexiones","mayores conexiones",,"5,1,2,3,4","3","6","31.2","28.8","5","0,0,0,0,1","3.85","5","6","4","1","5","5","1","4","4,4,0,3,0,3,0,3,0,3","14.2"
"2213","23","1","47","147.156.150.27","l45","1581419008",NULL,"30","100","7","21","1","Biotecnología","4","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","1","2","10","80","3","1083.2","Realizar el menor número de enlaces que me produjeran los mayores beneficios","Mantener la puntuación elevada sin probar otros enlaces que pudiesen ser más beneficiosos",,"3,1,4,5,2","4","6","40.2","39.6","4","0,0,0,1,1","0.1","5","5","6","1","5","4","8","4","3,4,1,3,0,3,0,4,1,4","11.4"
"2287","23","1","48","150.128.49.2","c55","1581419137",NULL,"30","100","7","22","0","Magisterio","4","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","5","2","10","80","3","1253.4","Ir comprobando diferentes estrategias y escoger la mejor.","Enlazarse con cualquiera.","Muy lioso.","5,3,2,4,1","4","6","29.4","61.2","5","0,0,0,0,0","2","5","5","6","2","7","1","9","2","1,2,3,4,2,3,2,1,2,3","13.5"
"2218","23","1","49","147.156.150.38","l47","1581419017",NULL,"30","100","7","18","1",,"1","203","0","41","0","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","8","2","10","80","3","1572.9","Asegurar puntos en todo momento enlazándome con los que más enlaces directos tenían.","Al principio intentar conseguir enlaces o esperar a ver quien era el que más enlaces tenía para enlazarse a él.",,"1,2,4,3,5","2","6","32.8","28.8","3","0,0,0,1,1","1.6","5","6","6","1","5","5","1","5","1,3,3,1,0,3,0,1,0,2","15"
"2278","23","1","50","150.128.49.2","c36","1581419118",NULL,"30","100","7","20","0","Economía","1","203","2","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","3","2","10","80","3","1554.8","Intentar ser el nodo más grande, si no podía, unirme a este e intentar unir a nodos separados.","Prácticamente la misma opino.","En mi opinión hay demasiada gente y es difícil de visualizar a quién estás conectado y se hace demasiado pesado ir buscando uno a uno para poder eliminar el enlace. Quizá podría existir un botón de eliminar todos los enlaces, sería bastante útil, en mi opinión.","5,2,3,1,4","1","6","39.6","1.2","4","0,0,1,1,1","3.85","5","5","6","1","5","4","1","5","2,3,3,3,2,3,1,2,1,1","17.3"
"2292","23","1","51","150.128.49.2","c53","1581419150",NULL,"30","100","7","22","0","Psicología","4","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","1","2","10","80","3","620","Intentar establecer relaciones cuando estas valian menos e intentar mantenerme cuando las rentas eran altas","Algunos pinchaban al azar, otros buscaban las cercanas... estrategia similares a la mía","estoy bastante más cansado de lo habitual","5,1,3,2,4","1","6","5.2","104.4","1","0,0,0,0,1","1.6","5","5","6","1","5","5","9","5","3,3,2,2,1,4,1,3,3,4","10.2"
