"id","id_subj","nb_question","nb_item","choice"
"1","2250","1","1","100"
"2","2250","2","5","0"
"3","2250","3","2","100"
"4","2250","4","3","100"
"5","2250","5","4","0"
"6","2211","1","3","0"
"7","2240","1","2","20"
"8","2211","2","4","0"
"9","2211","3","1","0"
"10","2211","4","2","100"
"11","2211","5","5","0"
"12","2237","1","3","33"
"13","2240","2","1","26"
"14","2232","1","3","65"
"15","2270","1","3","50"
"16","2237","2","4","16"
"17","2259","1","4","17"
"18","2232","2","4","39"
"19","2214","1","3","50"
"20","2240","3","4","0"
"21","2232","3","5","45"
"22","2240","4","3","0"
"23","2237","3","5","17"
"24","2240","5","5","0"
"25","2232","4","2","83"
"26","2215","1","3","0"
"27","2232","5","1","29"
"28","2270","2","1","25"
"29","2238","1","4","0"
"30","2259","2","5","69"
"31","2215","2","1","0"
"32","2249","1","3","17"
"33","2215","3","4","0"
"34","2237","4","1","83"
"35","2270","3","2","20"
"36","2215","4","5","0"
"37","2257","1","3","1"
"38","2214","2","5","17"
"39","2261","1","4","3"
"40","2238","2","2","0"
"41","2215","5","2","0"
"42","2241","1","4","33"
"43","2238","3","1","0"
"44","2214","3","1","19"
"45","2280","1","2","94"
"46","2237","5","2","94"
"47","2293","1","2","13"
"48","2286","1","4","0"
"49","2270","4","5","75"
"50","2238","4","5","0"
"51","2230","1","5","67"
"52","2259","3","2","20"
"53","2214","4","2","31"
"54","2261","2","1","0"
"55","2238","5","3","0"
"56","2257","2","5","17"
"57","2293","2","1","11"
"58","2254","1","1","0"
"59","2249","2","4","17"
"60","2230","2","3","33"
"61","2270","5","4","33"
"62","2214","5","4","16"
"63","2229","1","4","24"
"64","2212","1","5","33"
"65","2261","3","3","16"
"66","2259","4","1","23"
"67","2280","2","3","16"
"68","2241","2","5","75"
"69","2269","1","3","50"
"70","2286","2","2","6"
"71","2247","1","5","50"
"72","2227","1","4","33"
"73","2273","1","4","17"
"74","2248","1","1","19"
"75","2293","3","3","21"
"76","2261","4","5","8"
