"id","id_subj","round","session","period","id_grp","grp","time","time_start","duration","links","payoff"
"1","1516","1","16","1","45","1","1569316169","1569315816","354","[39,35,36,23,21,16,22]","76.5"
"2","1531","1","16","1","5","1","1569316150","1569315816","354","[50,23,8,25,48,6,16]","27.2"
"3","1502","1","16","1","37","1","1569316159","1569315816","354","[24,23,28,16,36,31,34,9,2,21,4,30,26,25,22,33,47,38,39,40]","158"
"4","1528","1","16","1","43","1","1569316165","1569315816","354","[26,2,24,31,40]","56.8"
"5","1525","1","16","1","9","1","1569316073","1569315816","354","[18,38,26,31,25,45,47,49,35,24,37,39,34,22]","12.9"
"6","1507","1","16","1","41","1","1569316166","1569315816","354","[14,35,16,18,2,4]","61.7"
"7","1529","1","16","1","27","1","1569316170","1569315816","354","[1,29,2,12,43,50,17,30,18,8,41,46,22,7,11,49,5,44,16,47,20,26,25,4]","-93"
"8","1536","1","16","1","46","1","1569316148","1569315816","354","[49,25,22,48,27,9,34,16,40,35,47,2,44,8]","-73.1"
"9","1527","1","16","1","1","1","1569316168","1569315816","354","[33]","74.1"
"10","1503","1","16","1","35","1","1569316170","1569315816","354","[26,43,31,10,23,7,44,5,3,48,1,40,13,32,19,20]","43.5"
"11","1506","1","16","1","50","1","1569316156","1569315816","354","[14,26,6,48,9,49,47,2,22,16]","65.2"
"12","1539","1","16","1","42","1","1569316168","1569315816","354","[25,2,35,4,40,47,28,48,16,1]","99.2"
"13","1511","1","16","1","29","1","1569316152","1569315816","354","[43,31,39,22,5,25,7]","115"
"14","1548","1","16","1","12","1","1569316170","1569315816","354","[23,32,6,43,44,15,50,21,30,28,35,49,42,5]","-3.2"
"15","1524","1","16","1","30","1","1569316149","1569315816","354","[32,27,9,47,50,19,3,2,20,37,49,45,38,14,21,35,13,48,15,8,33,12]","-26.2"
"16","1540","1","16","1","8","1","1569316146","1569315816","354","[49,24,30,20,22,34,11,5,13,39,35,41,2,27,50,9,7,29,44,25,3,21,47,16,46,48]","-120.5"
"17","1534","1","16","1","48","1","1569316169","1569315816","354","[6,14,36,2,5,31,34,46,19,30,49,1,8,47]","-76.3"
"18","1547","1","16","1","19","1","1569316167","1569315816","354","[25,36,29,2,15,26,6,12,18,7,32,41,47,30,5,42,14]","-5.3"
"19","1521","1","16","1","7","1","1569316170","1569315816","354","[22,24,41,29]","52.5"
"20","1508","1","16","1","25","1","1569316167","1569315816","354","[49,7,29,48,44,17,43,4,50,32,40,31,33]","65.8"
"21","1522","1","16","1","49","1","1569316170","1569315816","354","[4,42,15,19,35]","85"
"22","1532","1","16","1","34","1","1569316157","1569315816","354","[1,21,23,25,32,12,14,8,28,24,46,22,16,37,6,35,33,48]","-91.3"
"23","1517","1","16","1","28","1","1569316167","1569315816","354","[16]","99.2"
"24","1518","1","16","1","23","1","1569316161","1569315816","354","[45,37,40,43,31,12]","174.4"
"25","1535","1","16","1","20","1","1569316043","1569315816","354","[27,1,17,26,24,41,14,31,35,47,32,28,49,30,8,16,13,33,45,2,21,19,15]","88"
"26","1501","1","16","1","38","1","1569316161","1569315816","354","[40,35,47,33,49,37,50,26,39,9]","50.4"
"27","1549","1","16","1","39","1","1569316162","1569315816","354","[37,45,36,43,10,8,15]","-2.5"
"28","1544","1","16","1","21","1","1569316169","1569315816","354","[26,43,38,33,23,27,25,31,39,28,49,10,41,9,24,2,35,6,5,44,47,3,36,12,4,22]","10.8"
"29","1533","1","16","1","16","1","1569316168","1569315816","354","[27,41,35,22,37,3,24,17,23,6,34,49,20,42,15,8,46,14,45,28,47,50,30,33,4,18,5]","451.1"
"30","1512","1","16","1","33","1","1569316170","1569315816","354","[1,32,16,48,43,24,49,13,14,3]","97.1"
"31","1543","1","16","1","11","1","1569316165","1569315816","354","[44,8,47,22,27,2]","62.9"
"32","1526","1","16","1","17","1","1569316114","1569315816","354","[27,18,26,2,29,20,16,24,35,19,4,21]","-7.2"
"33","1504","1","16","1","47","1","1569316169","1569315816","354","[14,39,31,6,11,35,3,7,49,4,30,16,5,25,26,2,41,27,48]","13.2"
"34","1546","1","16","1","13","1","1569316169","1569315816","354","[1,4,20,47,12,42,28,35,19]","43.5"
"35","1537","1","16","1","4","1","1569316169","1569315816","354","[18,26,38,9,14,28,16]","99.2"
"36","1538","1","16","1","18","1","1569316141","1569315816","354","[41,9,47,16]","37.2"
