"id","id_subj","nb_question","nb_item","choice"
"1","206","1","2","20"
"2","223","1","5","0"
"3","206","2","3","33"
"4","210","1","2","14"
"5","223","2","3","0"
"6","206","3","5","17"
"7","231","1","5","75"
"8","210","2","3","0"
"9","204","1","5","0"
"10","223","3","2","0"
"11","210","3","1","26"
"12","223","4","1","0"
"13","206","4","4","33"
"14","218","1","1","17"
"15","223","5","4","0"
"16","218","2","5","75"
"17","218","3","4","3"
"18","210","4","5","0"
"19","231","2","4","33"
"20","250","1","5","75"
"21","210","5","4","0"
"22","224","1","3","50"
"23","204","2","2","0"
"24","245","1","4","33"
"25","218","4","3","96"
"26","233","1","5","58"
"27","229","1","4","0"
"28","206","5","1","24"
"29","235","1","3","0"
"30","231","3","3","50"
"31","250","2","3","50"
"32","218","5","2","0"
"33","230","1","2","10"
"34","235","2","1","0"
"35","233","2","3","32"
"36","235","3","2","0"
"37","229","2","5","0"
"38","231","4","1","25"
"39","204","3","1","0"
"40","250","3","2","20"
"41","237","1","1","25"
"42","233","3","1","26"
"43","235","4","5","0"
"44","239","1","3","25"
"45","213","1","1","25"
"46","230","2","4","16"
"47","229","3","2","0"
"48","235","5","4","0"
"49","224","2","2","31"
"50","245","2","1","25"
"51","233","4","2","17"
"52","231","5","2","20"
"53","205","1","4","35"
"54","229","4","3","0"
"55","250","4","1","0"
"56","201","1","2","37"
"57","230","3","5","17"
"58","250","5","4","0"
"59","204","4","3","9"
"60","229","5","1","0"
"61","233","5","4","33"
"62","239","2","4","25"
"63","213","2","2","20"
"64","230","4","1","17"
"65","237","2","5","75"
"66","224","3","1","25"
"67","201","2","1","0"
"68","245","3","3","50"
"69","217","1","1","25"
"70","244","1","5","3"
"71","219","1","5","75"
"72","213","3","5","75"
"73","205","2","2","17"
"74","230","5","3","16"
"75","232","1","5","33"
"76","237","3","2","25"
"77","245","4","5","58"
"78","202","1","2","20"
"79","213","4","3","50"
"80","224","4","5","42"
"81","217","2","3","47"
"82","208","1","2","20"
"83","248","1","2","67"
"84","237","4","4","41"
"85","213","5","4","33"
"86","212","1","3","50"
"87","205","3","3","45"
"88","201","3","4","17"
"89","239","3","2","12"
"90","237","5","3","40"
"91","202","2","4","32"
"92","224","5","4","33"
"93","232","2","2","29"
"94","242","1","3","34"
"95","204","5","4","8"
"96","248","2","1","4"
"97","226","1","3","10"
"98","202","3","1","23"
"99","205","4","5","67"
"100","217","3","2","23"
"101","216","1","2","0"
"102","248","3","4","60"
"103","221","1","4","33"
"104","245","5","2","17"
"105","248","4","3","36"
"106","239","4","1","24"
"107","232","3","1","26"
"108","217","4","5","73"
"109","201","4","3","52"
"110","219","2","4","0"
"111","232","4","4","28"
"112","216","2","3","0"
"113","202","4","5","71"
"114","242","2","5","24"
"115","217","5","4","35"
"116","205","5","1","26"
"117","232","5","3","25"
"118","239","5","5","22"
"119","202","5","3","50"
"120","208","2","3","50"
"121","216","3","4","0"
"122","221","2","5","0"
"123","247","1","2","20"
"124","216","4","1","33"
"125","201","5","5","62"
"126","216","5","5","0"
"127","242","3","1","13"
"128","220","1","4","33"
"129","240","1","4","28"
"130","219","3","2","100"
"131","226","2","4","17"
"132","248","5","5","45"
"133","241","1","4","0"
"134","234","1","5","50"
"135","242","4","4","75"
"136","219","4","3","0"
"137","244","2","1","25"
"138","226","3","5","0"
"139","221","3","2","51"
