"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","comp_7","comp_8","correct_comp","B5","final_pay"
"227","3","1","1","147.156.150.38","l47","1559038811",NULL,"30","100","7","18","0","ECONOMIA","2","203","0","41","1","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","5","2","10","40","1234","QUEDARME EN EL EXTERIOR DONDE HUBIERAN MENOS CIRCULOS PARA CREAR CONEXIONES MAS BENEFICIOSAS","TRATAR DE CONSEGUIR ELMAXIMO DE CONEXIONES",,"1,5,2,3,4","2","6","33.6","25.6","2","0,0,0,1,1","2","5","6","4","3","3","35","30",NULL,NULL,"1","3,4,3,4,3,1,3,1,3,4","19.1"
"205","3","1","2","147.156.150.45","l62","1559038734",NULL,"30","100","7","20","1","enfermeria","4","203","0","41","1","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","8","2","10","40","605.3","observar cuales eran las conexiones que podían generar más beneficio, y en algunos quedarme con los menos enlaces posibles pero con los más beneficiosos","pues yo creo que iba un poco aleatoriamente","creo que no se debería elegir un momento al azar. sino que se deberia hacer una media de los puntos, ya que en algunos casos es algo injusto","4,2,3,5,1","4","6","39","42","3","0,0,0,0,0","1.6","5","6","4","1","3","35","1",NULL,NULL,"2","0,4,0,1,2,4,1,4,3,1","13.2"
"231","3","1","3","147.156.150.6","l12","1559038819",NULL,"30","100","7","24","1","Logopedia","4","203","0","41","1","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","1","2","10","40","1186.2","Tener en cuenta los valores que tenía dentro el resto de figuras y tomar la decisión de conectarme o no.","La misma.",,"5,4,3,1,2","2","6","32","32","4","0,0,0,0,0","2","5","5","1","1","3","35","49",NULL,NULL,"2","3,4,3,3,0,3,1,4,1,2","18.7"
"237","3","1","4","147.156.150.11","l15","1559038832",NULL,"30","100","7","22","1",,"4","203","0","41","4","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","2","2","10","40","1041.8","estar conectado con pocos a la vez ","conectarse con muchos a la vez",,"1,5,2,4,3","4","6","35.4","49.2","5","0,0,0,1,1","3.85","5","3","1","1","3","35","32",NULL,NULL,"1","0,4,1,1,4,4,3,3,2,1","19.2"
"233","3","1","5","147.156.150.9","l13","1559038823",NULL,"30","100","7","22","0","RRHH","4","203","0","41","1","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","5","2","10","40","912.4","BUSCAR TENER MUCHOS ENLACES","LA MISMA",,"5,3,1,2,4","1","6","29.6","31.2","2","0,0,0,1,1","1.6","5","5","4","3","3","35","32",NULL,NULL,"2","2,2,2,1,1,2,3,2,2,1","15.7"
"201","3","1","6","147.156.150.56","l71","1559038699",NULL,"30","100","7","18","1","Magisterio","4","203","0","41","1","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","1","2","10","40","1067","Enlazarme con el que estaba conectado a un número mayor","La misma, además de enlazarse con los que se quedaban sueltos","Me ha parecido original","2,1,4,3,5","4","6","49.8","20.4","4","0,0,0,1,1","0.1","5","4","4","0","34","19","1",NULL,NULL,"2","1,3,3,1,1,4,0,3,3,2","16"
"218","3","1","7","147.156.150.41","l54","1559038781",NULL,"30","100","7","18","1","Magisterio","4","203","0","41","1","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","4","2","10","40","1289.4","Estarme quietecita muchas veces por que cuando intentaba crear vinculos perdia puntos","ni idea",,"1,5,4,3,2","5","6","30","30","2","0,0,1,1,1","1.6","5","1","3","3","3","35","18",NULL,NULL,"1","0,4,3,1,1,4,2,1,4,3","19.1"
"246","3","1","8","147.156.150.21","l26","1559038857",NULL,"30","100","7","23","0",,"4","203","0","41","1","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","6","2","10","40","722","juntarme a dos nodos y esperar","apretar todos los nodos posibles","De los peores Lineex que he estado. Dos veces he acabado con 160 puntos y de repente me marcaba -X","2,3,4,1,5","4","6","60","0","3","0,0,1,1,1","3.85","5","5","4","2","3","35","32",NULL,NULL,"2","3,4,4,4,4,3,2,2,2,3","16.9"
"220","3","1","9","147.156.150.42","l55","1559038786",NULL,"30","100","7","20","0","Ciencias de la salud","4","203","0","41","1","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","5","2","10","40","1174.5","Realizar entre 3 y 4 conexiones como máximo para que el coste no fuera muy elevado, y cuando la cantidad de puntos era superior a 160, no cambiar nada","Ir probando",,"4,1,5,2,3","2","6","32","32","2","0,0,1,1,1","1.6","5","6","4","1","3","35","1",NULL,NULL,"2","1,3,1,1,3,3,1,3,2,3","18.2"
"226","3","1","10","147.156.150.31","l31","1559038810",NULL,"30","100","7","18","0",,"4","203","0","41","3","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","2","2","10","40","1014.5","Comenzar creando conexiones pequeñas y dejar que fuesen actuando las demás, solo fijándome en que conexiones llevaban a sujetos en negativo y deshaciéndolas","Buscar un gran número de conexiones sin importar su valor numérico de puntos",,"3,4,5,1,2","5","6","120","0","1","0,0,1,1,1","1.6","5","5","2","1","3","19","18",NULL,NULL,"4","1,4,3,4,1,4,1,1,0,4","18.7"
"202","3","1","11","147.156.150.57","l72","1559038726",NULL,"30","100","7","19","1",,"1","203","0","41","0","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","1","2","10","40","1066.9","Mi estrategia fue ir haciendo parejas conlos que me pedían hacerlas conmigo. E ir probando con cuál me daban más puntos e ior desvinculandome del resto. Generalmente, tenía como máximo 3 parejas. ","Ir probando con los difernetes participantes para ir viendo en cuál le daban más puntos y buscar los más solicitados para obtener puntos críticos. ","Hubiera cambiado mi estrategia para buscar algún punto crítico. ","2,4,1,5,3","2","6","32","32","3","0,0,1,1,1","3.85","5","5","4","1","34","1","33",NULL,NULL,"3","3,4,3,4,0,4,2,3,1,4","19.5"
"214","3","1","12","147.156.150.39","l52","1559038770",NULL,"30","100","7","21","1","ARQUITECTURA","4","203","2","41","4","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","9","2","10","40","1154.3","JUNTARME CON NÚMEROS CON POCAS CONEXIONES","JUNTARSE CON NÚMEROS  CON POCAS CONEXIONES",,"3,1,4,2,5","4","6","58.8","2.4","5","0,0,1,1,1","3.85","5","0","4","1","3","34","41",NULL,NULL,"2","3,4,2,0,1,2,3,3,4,3","20.8"
"236","3","1","13","147.156.150.29","l35","1559038831",NULL,"30","100","7","19","1","Estudios Ingleses","4","203","0","41","4","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","4","2","10","40","1271.5","Mantenerme sin hacer nada cuando tenía un valor alto de puntos","Hacer muchos nodos",,"5,4,1,3,2","5","6","90","10","1","0,0,0,0,1","1.6","5","5","4","1","3","19","1",NULL,NULL,"4","0,4,3,3,1,3,2,4,3,1","20.4"
"239","3","1","14","147.156.150.32","l36","1559038838",NULL,"30","100","7","22","1","ciencias ","4","203","0","41","4","6","50","50","161,202,274,184,312,81","60","360",NULL,"400","110","50","5","3","2","10","40","107.1","intentar hacer los mayores enlaces posibles ","ir a los enlaces con mayor puntuación ",,"3,4,2,1,5","3","6","45","15","1","0,0,1,1,1","1.6","5","1","1","1","3","19","18",NULL,NULL,"3","4,4,0,0,4,0,2,3,0,2","8.8"
