"id","id_subj","time","session","id_grp","grp","round","period","links"
"1","202","4","3","33","1","1","1","[31]"
"2","202","5","3","33","1","1","1","[31,32]"
"3","202","6","3","33","1","1","1","[31,32,36]"
"4","225","7","3","5","1","1","1","[32]"
"5","205","7","3","4","1","1","1","[1]"
"6","202","7","3","33","1","1","1","[31,32,36,49]"
"7","225","8","3","5","1","1","1","[32,27]"
"8","203","8","3","36","1","1","1","[26]"
"9","221","8","3","22","1","1","1","[27]"
"10","210","8","3","17","1","1","1","[27]"
"11","202","8","3","33","1","1","1","[31,32,36,49,25]"
"12","225","9","3","5","1","1","1","[32,27,18]"
"13","206","9","3","35","1","1","1","[36]"
"14","213","9","3","46","1","1","1","[26]"
"15","205","9","3","4","1","1","1","[]"
"16","225","9","3","5","1","1","1","[32,27,18,1]"
"17","205","10","3","4","1","1","1","[27]"
"18","202","10","3","33","1","1","1","[31,32,36,49,25,26]"
"19","248","10","3","14","1","1","1","[15]"
"20","229","10","3","11","1","1","1","[27]"
"21","203","10","3","36","1","1","1","[26,17]"
"22","205","10","3","4","1","1","1","[]"
"23","223","11","3","16","1","1","1","[33]"
"24","232","11","3","48","1","1","1","[37]"
"25","202","11","3","33","1","1","1","[31,32,36,49,25,26,14]"
"26","245","11","3","7","1","1","1","[49]"
"27","203","11","3","36","1","1","1","[26,17,1]"
"28","205","11","3","4","1","1","1","[18]"
"29","223","11","3","16","1","1","1","[33,36]"
"30","248","11","3","14","1","1","1","[15,32]"
"31","206","11","3","35","1","1","1","[]"
"32","229","11","3","11","1","1","1","[27,38]"
"33","225","11","3","5","1","1","1","[32,27,18,1,38]"
"34","209","12","3","47","1","1","1","[26]"
"35","220","12","3","42","1","1","1","[35]"
"36","205","12","3","4","1","1","1","[]"
"37","224","12","3","44","1","1","1","[1]"
"38","202","12","3","33","1","1","1","[31,32,36,49,25,26,14,17]"
"39","210","12","3","17","1","1","1","[27,36]"
"40","225","12","3","5","1","1","1","[32,27,18,1,38,22]"
"41","203","12","3","36","1","1","1","[26,17,1,8]"
"42","247","13","3","10","1","1","1","[1]"
"43","205","13","3","4","1","1","1","[15]"
"44","245","13","3","7","1","1","1","[49,11]"
"45","225","13","3","5","1","1","1","[32,27,18,1,38,22,15]"
"46","202","13","3","33","1","1","1","[31,32,36,49,25,26,14,17,1]"
"47","227","13","3","13","1","1","1","[27]"
"48","209","13","3","47","1","1","1","[26,1]"
"49","206","14","3","35","1","1","1","[15]"
"50","248","14","3","14","1","1","1","[15,32,33]"
"51","220","14","3","42","1","1","1","[]"
"52","221","14","3","22","1","1","1","[27,1]"
"53","226","14","3","30","1","1","1","[36]"
"54","223","14","3","16","1","1","1","[33,36,27]"
"55","203","14","3","36","1","1","1","[26,17,1,8,41]"
"56","214","14","3","2","1","1","1","[7]"
"57","213","14","3","46","1","1","1","[26,1]"
"58","234","14","3","15","1","1","1","[14]"
"59","204","14","3","43","1","1","1","[26]"
"60","230","14","3","8","1","1","1","[27]"
"61","228","14","3","25","1","1","1","[27]"
"62","237","14","3","19","1","1","1","[14]"
"63","225","14","3","5","1","1","1","[32,27,18,1,38,22,15,49]"
"64","206","15","3","35","1","1","1","[15,24]"
"65","245","15","3","7","1","1","1","[49,11,36]"
"66","223","15","3","16","1","1","1","[33,36,27,26]"
"67","211","15","3","39","1","1","1","[26]"
"68","241","15","3","41","1","1","1","[26]"
"69","231","15","3","21","1","1","1","[32]"
"70","235","15","3","45","1","1","1","[26]"
"71","202","15","3","33","1","1","1","[31,32,36,49,25,26,14,17,1,16]"
"72","232","15","3","48","1","1","1","[37,6]"
"73","205","15","3","4","1","1","1","[]"
"74","227","15","3","13","1","1","1","[27,15]"
"75","226","15","3","30","1","1","1","[36,33]"
"76","225","15","3","5","1","1","1","[32,27,18,1,38,22,15,49,26]"
"77","243","15","3","49","1","1","1","[37]"
"78","209","15","3","47","1","1","1","[26,1,14]"
"79","221","15","3","22","1","1","1","[27,1,38]"
"80","208","15","3","31","1","1","1","[32]"
"81","223","15","3","16","1","1","1","[33,36,27,26,18]"
"82","230","16","3","8","1","1","1","[27,41]"
"83","214","16","3","2","1","1","1","[7,11]"
"84","228","16","3","25","1","1","1","[27,38]"
"85","213","16","3","46","1","1","1","[26,1,37]"
"86","203","16","3","36","1","1","1","[26,17,1,8,41,25]"
"87","218","16","3","1","1","1","1","[36]"
"88","231","16","3","21","1","1","1","[32,27]"
"89","204","16","3","43","1","1","1","[26,1]"
"90","225","16","3","5","1","1","1","[32,27,18,1,38,22,15,49,26,28]"
"91","248","16","3","14","1","1","1","[15,32,33,27]"
"92","206","16","3","35","1","1","1","[24]"
"93","223","16","3","16","1","1","1","[33,36,27,26,18,32]"
"94","210","17","3","17","1","1","1","[36]"
"95","238","17","3","32","1","1","1","[14]"
"96","245","17","3","7","1","1","1","[49,11,36,10]"
"97","229","17","3","11","1","1","1","[27,38,1]"
"98","212","17","3","12","1","1","1","[29]"
"99","237","17","3","19","1","1","1","[14,27]"
"100","235","17","3","45","1","1","1","[]"
"101","241","17","3","41","1","1","1","[26,36]"
"102","214","17","3","2","1","1","1","[7,11,49]"
"103","203","17","3","36","1","1","1","[26,17,1,8,41,25,49]"
"104","228","17","3","25","1","1","1","[27,38,33]"
"105","231","17","3","21","1","1","1","[32,27,1]"
"106","218","17","3","1","1","1","1","[36,47]"
"107","230","18","3","8","1","1","1","[27,41,31]"
"108","221","18","3","22","1","1","1","[27,1,38,36]"
"109","225","18","3","5","1","1","1","[32,27,18,1,38,22,15,49,26,28,41]"
"110","208","18","3","31","1","1","1","[32,49]"
"111","223","18","3","16","1","1","1","[33,36,27,26,18,32,49]"
"112","216","18","3","28","1","1","1","[29]"
"113","249","18","3","38","1","1","1","[5]"
"114","246","18","3","34","1","1","1","[26]"
"115","232","18","3","48","1","1","1","[37,6,15]"
"116","235","18","3","45","1","1","1","[31]"
"117","206","18","3","35","1","1","1","[]"
"118","248","18","3","14","1","1","1","[15,32,33,27,26]"
"119","210","18","3","17","1","1","1","[36,32]"
"120","215","18","3","3","1","1","1","[27]"
"121","237","18","3","19","1","1","1","[14,27,26]"
"122","202","18","3","33","1","1","1","[31,32,36,49,25,26,14,1,16]"
"123","223","18","3","16","1","1","1","[33,36,27,26,18,32,49,29]"
"124","203","18","3","36","1","1","1","[26,17,1,8,41,25,49,31]"
"125","214","19","3","2","1","1","1","[7,11,49,26]"
"126","211","19","3","39","1","1","1","[26,25]"
"127","243","19","3","49","1","1","1","[37,26]"
"128","226","19","3","30","1","1","1","[36,33,15]"
"129","245","19","3","7","1","1","1","[49,11,36,10,29]"
"130","225","19","3","5","1","1","1","[32,27,18,1,38,22,15,49,26,28,41,9]"
"131","236","19","3","50","1","1","1","[35]"
"132","204","19","3","43","1","1","1","[26,1,8]"
"133","249","19","3","38","1","1","1","[5,25]"
"134","201","19","3","37","1","1","1","[49]"
"135","223","19","3","16","1","1","1","[33,36,27,26,18,32,49,29,9]"
"136","241","19","3","41","1","1","1","[26,36,8]"
"137","206","19","3","35","1","1","1","[49]"
"138","234","19","3","15","1","1","1","[14,26]"
"139","230","19","3","8","1","1","1","[27,41,31,36]"
"140","216","19","3","28","1","1","1","[29,27]"
"141","231","19","3","21","1","1","1","[32,27,1,17]"
"142","213","19","3","46","1","1","1","[26,1,37,49]"
"143","220","19","3","42","1","1","1","[16]"
"144","218","20","3","1","1","1","1","[36,47,11]"
"145","240","20","3","9","1","1","1","[38]"
"146","207","20","3","6","1","1","1","[15]"
"147","250","20","3","29","1","1","1","[28]"
"148","203","20","3","36","1","1","1","[26,17,1,8,41,25,49,31,35]"
"149","243","20","3","49","1","1","1","[37,26,35]"
"150","210","20","3","17","1","1","1","[36,32,26]"
"151","242","20","3","24","1","1","1","[28]"
"152","225","20","3","5","1","1","1","[32,27,18,1,38,22,15,49,26,28,41,9,6]"
"153","206","20","3","35","1","1","1","[]"
"154","229","20","3","11","1","1","1","[27,38]"
"155","238","20","3","32","1","1","1","[14,5]"
"156","226","20","3","30","1","1","1","[36,33,15,37]"
"157","249","21","3","38","1","1","1","[5,25,35]"
"158","213","21","3","46","1","1","1","[26,1,37,49,8]"
"159","228","21","3","25","1","1","1","[27,33]"
"160","208","21","3","31","1","1","1","[32,49,28]"
"161","240","21","3","9","1","1","1","[38,5]"
"162","250","21","3","29","1","1","1","[28,12]"
"163","245","21","3","7","1","1","1","[49,11,36,10,29,33]"
"164","227","21","3","13","1","1","1","[27,15,38]"
"165","230","21","3","8","1","1","1","[27,41,31,36,26]"
"166","242","21","3","24","1","1","1","[28,35]"
"167","221","22","3","22","1","1","1","[27,1,38,36,14]"
"168","209","22","3","47","1","1","1","[26,1,14,8]"
"169","202","22","3","33","1","1","1","[31,32,49,25,26,14,1,16]"
"170","206","22","3","35","1","1","1","[27]"
"171","226","22","3","30","1","1","1","[36,33,15,37,41]"
"172","249","22","3","38","1","1","1","[5,25,35,11]"
"173","213","22","3","46","1","1","1","[26,1,37,49,8,31]"
"174","250","22","3","29","1","1","1","[28,12,7]"
"175","211","22","3","39","1","1","1","[26,25,35]"
"176","240","23","3","9","1","1","1","[38,5,16]"
"177","227","23","3","13","1","1","1","[15,38]"
"178","236","23","3","50","1","1","1","[35,6]"
"179","208","23","3","31","1","1","1","[32,49,28,25]"
"180","205","23","3","4","1","1","1","[18]"
"181","209","23","3","47","1","1","1","[26,1,14,8,36]"
"182","237","23","3","19","1","1","1","[14,27,26,28]"
"183","207","23","3","6","1","1","1","[15,5]"
"184","217","23","3","40","1","1","1","[37]"
"185","203","23","3","36","1","1","1","[26,17,1,8,41,25,31,35]"
"186","230","23","3","8","1","1","1","[27,41,31,36,26,16]"
"187","248","24","3","14","1","1","1","[15,32,33,27,26,47]"
"188","229","24","3","11","1","1","1","[27,38,1]"
"189","232","24","3","48","1","1","1","[37,6,15,36]"
"190","202","24","3","33","1","1","1","[31,49,25,26,14,1,16]"
"191","201","24","3","37","1","1","1","[49,30]"
"192","231","24","3","21","1","1","1","[32,27,1,17,5]"
"193","226","24","3","30","1","1","1","[36,33,15,37,41,25]"
"194","215","24","3","3","1","1","1","[27,26]"
"195","206","24","3","35","1","1","1","[]"
"196","205","24","3","4","1","1","1","[18,27]"
"197","228","24","3","25","1","1","1","[27,33,36]"
"198","209","24","3","47","1","1","1","[26,1,14,8,36,49]"
"199","208","25","3","31","1","1","1","[32,49,28,25,5]"
"200","210","25","3","17","1","1","1","[36,32]"
"201","211","25","3","39","1","1","1","[26,25,35,49]"
"202","203","25","3","36","1","1","1","[26,17,1,8,41,31,35]"
"203","241","25","3","41","1","1","1","[26,36,8,5]"
"204","250","25","3","29","1","1","1","[28,12,7,16]"
"205","204","25","3","43","1","1","1","[26,1,8,49]"
"206","244","26","3","26","1","1","1","[27]"
"207","206","26","3","35","1","1","1","[2]"
"208","221","26","3","22","1","1","1","[27,1,38,36,14,10]"
"209","247","26","3","10","1","1","1","[1,27]"
"210","216","26","3","28","1","1","1","[29,27,37]"
"211","206","26","3","35","1","1","1","[]"
"212","228","26","3","25","1","1","1","[27,33,36,38]"
"213","249","26","3","38","1","1","1","[5,25,35,11,13]"
"214","201","26","3","37","1","1","1","[49,30,46]"
"215","227","26","3","13","1","1","1","[15,38,11]"
"216","205","26","3","4","1","1","1","[18,27,6]"
"217","226","26","3","30","1","1","1","[36,33,15,37,41,25,9]"
"218","241","27","3","41","1","1","1","[26,36,8,5,30]"
"219","210","27","3","17","1","1","1","[36,32,18]"
"220","246","27","3","34","1","1","1","[26,9]"
"221","230","27","3","8","1","1","1","[27,41,31,36,26,16,50]"
"222","204","27","3","43","1","1","1","[1,8,49]"
"223","219","27","3","27","1","1","1","[28]"
"224","221","27","3","22","1","1","1","[27,1,38,36,14,10,13]"
"225","225","27","3","5","1","1","1","[32,27,18,1,38,22,15,49,26,28,41,9,6,21]"
"226","222","27","3","23","1","1","1","[17]"
"227","223","27","3","16","1","1","1","[33,36,27,26,18,32,49,29,9,24]"
"228","248","27","3","14","1","1","1","[15,32,33,27,26,47,19]"
"229","237","27","3","19","1","1","1","[14,27,26,28,5]"
"230","212","27","3","12","1","1","1","[29,26]"
"231","213","27","3","46","1","1","1","[26,1,37,49,8,31,21]"
"232","215","28","3","3","1","1","1","[27,26,47]"
"233","217","28","3","40","1","1","1","[37,26]"
"234","242","28","3","24","1","1","1","[28,35,43]"
"235","206","28","3","35","1","1","1","[2]"
"236","218","28","3","1","1","1","1","[36,47,11,33]"
"237","238","28","3","32","1","1","1","[14,5,21]"
"238","245","28","3","7","1","1","1","[49,11,36,10,29,33,26]"
