"id","id_subj","round","session","period","id_grp","grp","time","time_start","duration","links","payoff"
"1","224","1","3","1","44","1","1559041343","1559041183","161","[30,37,40,9,17,5,7]","81.7"
"2","222","1","3","1","23","1","1559041344","1559041183","161","[36,16,34,4,6,50,7,18]","124.2"
"3","216","1","3","1","28","1","1559041343","1559041183","161","[29,27,47,1,42,2,3,23,43,30,45,25,8,41,11,12,46,49,7,10,16]","1.7"
"4","209","1","3","1","47","1","1559041343","1559041183","161","[26,1,8,49,13,35,30,33,22,38,36,28]","-38.3"
"5","237","1","3","1","19","1","1559041336","1559041183","161","[27,26,28,5,25,36,35,9,6,21,20,47,38]","1.7"
"6","227","1","3","1","13","1","1559041338","1559041183","161","[15,22,47,50,6,36]","81.7"
"7","234","1","3","1","15","1","1559041312","1559041183","161","[14,26,50,40,16,13,36,46]","121.7"
"8","213","1","3","1","46","1","1559041340","1559041183","161","[26,37,8,15,18,20,30,21,23,24,43,45,31]","1.7"
"9","235","1","3","1","45","1","1559041343","1559041183","161","[34,39,17,8,22,27,7,29,44,2,24,40,14,33,28,1,41,15,32,46,50,38]","-38.3"
"10","233","1","3","1","18","1","1559041344","1559041183","161","[11,1,8,30,46,19,31,37,34,39,36,50,35,32,27,38,14,47]","121.7"
"11","218","1","3","1","1","1","1559041341","1559041183","161","[36,47,11,33,19,21,22,43,45,28,7,42,29,10,37,12]","-118.3"
"12","242","1","3","1","24","1","1559041304","1559041183","161","[28,35,43,30,19,45]","121.7"
"13","226","1","3","1","30","1","1559041341","1559041183","161","[36,33,15,37,9,31,43,34,25,18]","121.7"
"14","201","1","3","1","37","1","1559041344","1559041183","161","[49,30,46,6,47,48,1,42,19,10]","41.7"
"15","245","1","3","1","7","1","1559041342","1559041183","161","[49,11,36,10,26,3,13,37,14,20,31,18,44,33,35]","81.7"
"16","240","1","3","1","9","1","1559041340","1559041183","161","[34,50,7,47,36,31,2,23,11,38]","81.7"
"17","246","1","3","1","34","1","1559041326","1559041183","161","[26,20,17,21,32]","161.7"
"18","211","1","3","1","39","1","1559041341","1559041183","161","[26,25,30,37,49,18,21,17,45]","41.7"
"19","225","1","3","1","5","1","1559041333","1559041183","161","[32,27,18,49,26,28,41,9,6,21,31,19,22,11,38,37,46,39,34,2,50,8,17,30,25,40,44,13,23,43,16,42,45,24,10,14,7,35,20,29,1,12,36,47,33,3,48,4,15]","-398.3"
"20","250","1","3","1","29","1","1559041343","1559041183","161","[16,7,42,45]","161.7"
"21","212","1","3","1","12","1","1559041344","1559041183","161","[26,10,42,5,28,1]","81.7"
"22","247","1","3","1","10","1","1559041333","1559041183","161","[1,27,22,7,12,5,38,36]","1.7"
"23","238","1","3","1","32","1","1559041343","1559041183","161","[5,31,3,27,38,14]","41.7"
"24","241","1","3","1","41","1","1559041343","1559041183","161","[5,40,7,2,50,44]","161.7"
